zipcode,income_level,grade,borough,cuisine_description,score
10007,high income,B,MANHATTAN,Pizza,18.2
10007,high income,B,MANHATTAN,Sandwiches,17.5
10007,high income,B,MANHATTAN,Spanish,17.0
10007,high income,B,MANHATTAN,Tex-Mex,25.0
10007,high income,C,MANHATTAN,American,39.5
10007,high income,C,MANHATTAN,Japanese,34.0
10007,high income,C,MANHATTAN,Spanish,42.0
10007,high income,P,MANHATTAN,American,9.0
10007,high income,P,MANHATTAN,Bangladeshi,3.0
10007,high income,P,MANHATTAN,Delicatessen,8.0
10007,high income,P,MANHATTAN,Irish,2.0
10007,high income,P,MANHATTAN,Pizza,6.0
10007,high income,Z,MANHATTAN,American,54.0
10007,high income,Z,MANHATTAN,Indian,20.0
10007,high income,Z,MANHATTAN,Spanish,2.0
10007,medium income,A,MANHATTAN,Delicatessen,10.67
10007,medium income,A,MANHATTAN,Donuts,11.0
10007,medium income,A,MANHATTAN,Japanese,8.25
10007,medium income,A,MANHATTAN,Pizza,11.0
10007,medium income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,10.0
10009,high income,A,MANHATTAN,American,9.64
10009,high income,A,MANHATTAN,Caf̩/Coffee/Tea,4.67
10009,high income,A,MANHATTAN,Donuts,10.43
10009,high income,A,MANHATTAN,French,10.56
10009,high income,A,MANHATTAN,Hamburgers,8.0
10009,high income,A,MANHATTAN,Irish,9.0
10009,high income,A,MANHATTAN,Italian,9.25
10009,high income,A,MANHATTAN,Japanese,10.83
10009,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13.0
10009,high income,A,MANHATTAN,Mediterranean,10.33
10009,high income,A,MANHATTAN,Mexican,9.0
10009,high income,A,MANHATTAN,Middle Eastern,9.67
10009,high income,A,MANHATTAN,Tapas,9.2
10009,high income,A,MANHATTAN,Vietnamese/Cambodian/Malaysia,9.67
10009,high income,B,MANHATTAN,Donuts,16.0
10009,high income,B,MANHATTAN,French,23.5
10009,high income,B,MANHATTAN,Hamburgers,18.0
10009,high income,B,MANHATTAN,Irish,24.5
10009,high income,B,MANHATTAN,Japanese,23.67
10009,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",25.0
10009,high income,B,MANHATTAN,Middle Eastern,18.0
10009,high income,B,MANHATTAN,Tapas,18.0
10009,high income,B,MANHATTAN,Vietnamese/Cambodian/Malaysia,16.0
10009,high income,C,MANHATTAN,Middle Eastern,30.0
10009,high income,P,MANHATTAN,Italian,2.0
10009,high income,Z,MANHATTAN,Japanese,32.0
10009,high income,Z,MANHATTAN,Vietnamese/Cambodian/Malaysia,0.0
10009,medium income,A,MANHATTAN,American,9.67
10009,medium income,A,MANHATTAN,Asian,9.71
10009,medium income,A,MANHATTAN,Australian,9.33
10009,medium income,A,MANHATTAN,Bakery,10.33
10009,medium income,A,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",10.43
10009,medium income,A,MANHATTAN,Brazilian,11.25
10009,medium income,A,MANHATTAN,Caf̩/Coffee/Tea,8.6
10009,medium income,A,MANHATTAN,Caribbean,12.25
10009,medium income,A,MANHATTAN,Chicken,10.0
10009,medium income,A,MANHATTAN,Chinese,9.08
10009,medium income,A,MANHATTAN,Donuts,10.43
10009,medium income,A,MANHATTAN,Eastern European,9.22
10009,medium income,A,MANHATTAN,Ethiopian,10.5
10009,medium income,A,MANHATTAN,French,9.77
10009,medium income,A,MANHATTAN,German,10.75
10009,medium income,A,MANHATTAN,Greek,9.33
10009,medium income,A,MANHATTAN,Hamburgers,8.21
10009,medium income,A,MANHATTAN,Indian,7.25
10009,medium income,A,MANHATTAN,Irish,8.91
10009,medium income,A,MANHATTAN,Italian,9.78
10009,medium income,A,MANHATTAN,Japanese,9.81
10009,medium income,A,MANHATTAN,"Juice, Smoothies, Fruit Salads",5.67
10009,medium income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8.7
10009,medium income,A,MANHATTAN,Mediterranean,9.56
10009,medium income,A,MANHATTAN,Mexican,10.14
10009,medium income,A,MANHATTAN,Middle Eastern,9.84
10009,medium income,A,MANHATTAN,Moroccan,6.33
10009,medium income,A,MANHATTAN,Other,9.75
10009,medium income,A,MANHATTAN,Pizza,8.91
10009,medium income,A,MANHATTAN,Pizza/Italian,6.4
10009,medium income,A,MANHATTAN,Russian,11.33
10009,medium income,A,MANHATTAN,Sandwiches,9.67
10009,medium income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,8.75
10009,medium income,A,MANHATTAN,Seafood,8.75
10009,medium income,A,MANHATTAN,Soul Food,10.0
10009,medium income,A,MANHATTAN,Spanish,10.65
10009,medium income,A,MANHATTAN,Tapas,10.11
10009,medium income,A,MANHATTAN,Tex-Mex,3.67
10009,medium income,A,MANHATTAN,Thai,8.83
10009,medium income,A,MANHATTAN,Vegetarian,7.44
10009,medium income,A,MANHATTAN,Vietnamese/Cambodian/Malaysia,7.75
10009,medium income,B,MANHATTAN,American,19.97
10009,medium income,B,MANHATTAN,Asian,22.0
10009,medium income,B,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",19.33
10009,medium income,B,MANHATTAN,Caf̩/Coffee/Tea,21.0
10009,medium income,B,MANHATTAN,Caribbean,17.0
10009,medium income,B,MANHATTAN,Chicken,19.0
10009,medium income,B,MANHATTAN,Chinese,17.5
10009,medium income,B,MANHATTAN,Donuts,16.0
10009,medium income,B,MANHATTAN,Ethiopian,17.5
10009,medium income,B,MANHATTAN,French,20.33
10009,medium income,B,MANHATTAN,German,19.0
10009,medium income,B,MANHATTAN,Hamburgers,18.0
10009,medium income,B,MANHATTAN,Irish,19.2
10009,medium income,B,MANHATTAN,Japanese,23.25
10009,medium income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",20.88
10009,medium income,B,MANHATTAN,Mediterranean,16.0
10009,medium income,B,MANHATTAN,Mexican,20.5
10009,medium income,B,MANHATTAN,Middle Eastern,17.67
10009,medium income,B,MANHATTAN,Pizza,19.25
10009,medium income,B,MANHATTAN,Russian,20.5
10009,medium income,B,MANHATTAN,Seafood,18.0
10009,medium income,B,MANHATTAN,Spanish,19.0
10009,medium income,B,MANHATTAN,Tapas,18.0
10009,medium income,B,MANHATTAN,Vietnamese/Cambodian/Malaysia,16.0
10009,medium income,C,MANHATTAN,American,26.75
10009,medium income,C,MANHATTAN,Asian,40.0
10009,medium income,C,MANHATTAN,Brazilian,43.0
10009,medium income,C,MANHATTAN,French,10.0
10009,medium income,C,MANHATTAN,Japanese,32.0
10009,medium income,C,MANHATTAN,Mexican,30.0
10009,medium income,C,MANHATTAN,Middle Eastern,30.0
10009,medium income,C,MANHATTAN,Thai,28.0
10009,medium income,P,MANHATTAN,American,2.0
10009,medium income,P,MANHATTAN,Italian,2.0
10009,medium income,P,MANHATTAN,Pizza,0.0
10009,medium income,P,MANHATTAN,Sandwiches,2.0
10009,medium income,Z,MANHATTAN,American,16.0
10009,medium income,Z,MANHATTAN,Japanese,32.0
10009,medium income,Z,MANHATTAN,Vietnamese/Cambodian/Malaysia,0.0
10010,high income,A,MANHATTAN,American,8.77
10010,high income,A,MANHATTAN,Bagels/Pretzels,9.64
10010,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.77
10010,high income,A,MANHATTAN,Chicken,9.91
10010,high income,A,MANHATTAN,Chinese,8.5
10010,high income,A,MANHATTAN,Continental,10.25
10010,high income,A,MANHATTAN,Delicatessen,11.33
10010,high income,A,MANHATTAN,Donuts,9.86
10010,high income,A,MANHATTAN,French,5.75
10010,high income,A,MANHATTAN,German,9.25
10010,high income,A,MANHATTAN,Hamburgers,10.0
10010,high income,A,MANHATTAN,Indian,8.33
10010,high income,A,MANHATTAN,Irish,10.33
10010,high income,A,MANHATTAN,Italian,8.54
10010,high income,A,MANHATTAN,Japanese,9.5
10010,high income,A,MANHATTAN,"Juice, Smoothies, Fruit Salads",6.0
10010,high income,A,MANHATTAN,Mexican,9.57
10010,high income,A,MANHATTAN,Pizza,7.33
10010,high income,A,MANHATTAN,Pizza/Italian,10.75
10010,high income,A,MANHATTAN,Sandwiches,9.65
10010,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,6.75
10010,high income,A,MANHATTAN,Seafood,9.0
10010,high income,A,MANHATTAN,Soups & Sandwiches,5.5
10010,high income,A,MANHATTAN,Tex-Mex,8.6
10010,high income,A,MANHATTAN,Thai,8.75
10010,high income,B,MANHATTAN,American,19.0
10010,high income,B,MANHATTAN,Bagels/Pretzels,17.5
10010,high income,B,MANHATTAN,Caf̩/Coffee/Tea,25.0
10010,high income,B,MANHATTAN,Chinese,19.5
10010,high income,B,MANHATTAN,Delicatessen,18.5
10010,high income,B,MANHATTAN,Italian,15.67
10010,high income,B,MANHATTAN,"Juice, Smoothies, Fruit Salads",15.5
10010,high income,B,MANHATTAN,Pizza,21.8
10010,high income,B,MANHATTAN,Pizza/Italian,24.0
10010,high income,B,MANHATTAN,Sandwiches,14.0
10010,high income,B,MANHATTAN,Sandwiches/Salads/Mixed Buffet,18.33
10010,high income,C,MANHATTAN,American,35.0
10010,high income,C,MANHATTAN,Chicken,32.0
10010,high income,C,MANHATTAN,Hamburgers,40.0
10010,high income,C,MANHATTAN,Pizza,2.5
10010,high income,P,MANHATTAN,American,7.0
10010,high income,P,MANHATTAN,Chinese,2.0
10010,high income,P,MANHATTAN,Pizza,2.0
10010,high income,Z,MANHATTAN,Pizza,14.5
10010,low income,A,MANHATTAN,American,9.46
10010,low income,A,MANHATTAN,Bagels/Pretzels,9.64
10010,low income,A,MANHATTAN,Caf̩/Coffee/Tea,5.67
10010,low income,A,MANHATTAN,Continental,10.25
10010,low income,A,MANHATTAN,Donuts,11.0
10010,low income,A,MANHATTAN,German,9.25
10010,low income,A,MANHATTAN,Irish,8.75
10010,low income,B,MANHATTAN,American,16.0
10010,low income,B,MANHATTAN,Bagels/Pretzels,17.5
10010,low income,B,MANHATTAN,Pizza,14.0
10010,low income,C,MANHATTAN,American,11.0
10010,low income,C,MANHATTAN,Pizza,3.0
10010,low income,Z,MANHATTAN,Pizza,27.0
10010,medium income,A,MANHATTAN,Donuts,8.33
10010,medium income,A,MANHATTAN,French,11.33
10010,medium income,A,MANHATTAN,Italian,12.0
10010,medium income,A,MANHATTAN,Mexican,10.2
10010,medium income,A,MANHATTAN,Thai,9.75
10010,medium income,B,MANHATTAN,French,22.33
10010,medium income,B,MANHATTAN,Italian,16.0
10011,high income,A,MANHATTAN,American,8.45
10011,high income,A,MANHATTAN,Bagels/Pretzels,11.0
10011,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.35
10011,high income,A,MANHATTAN,Chinese,10.0
10011,high income,A,MANHATTAN,Donuts,10.25
10011,high income,A,MANHATTAN,French,11.0
10011,high income,A,MANHATTAN,Hamburgers,7.86
10011,high income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",7.0
10011,high income,A,MANHATTAN,Italian,7.0
10011,high income,A,MANHATTAN,Japanese,8.5
10011,high income,A,MANHATTAN,Mexican,10.5
10011,high income,A,MANHATTAN,Nuts/Confectionary,8.5
10011,high income,A,MANHATTAN,Pizza,10.83
10011,high income,A,MANHATTAN,Pizza/Italian,13.0
10011,high income,A,MANHATTAN,Sandwiches,7.0
10011,high income,A,MANHATTAN,Vegetarian,9.75
10011,high income,B,MANHATTAN,American,16.33
10011,high income,B,MANHATTAN,Bagels/Pretzels,22.0
10011,high income,B,MANHATTAN,Caf̩/Coffee/Tea,24.0
10011,high income,B,MANHATTAN,Chinese,18.0
10011,high income,B,MANHATTAN,Japanese,16.0
