DBA,Borough,STREET,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,INCOME LEVEL
RITZ DINER,MANHATTAN,1 AVENUE,American,13.0,A,06/27/2014,high income
MANHATTAN PROPER,MANHATTAN,MURRAY STREET,American,12.0,A,01/26/2017,high income
JO JO,MANHATTAN,EAST   64 STREET,French,10.0,A,07/21/2015,high income
OLD JOHN'S LUNCHEONETTE,MANHATTAN,WEST   67 STREET,American,10.0,A,05/10/2017,high income
BAY TERRACE POOL & TENNIS CENTER,QUEENS,23 AVENUE,American,13.0,A,06/04/2015,medium income
PANCHO VILLA RESTAURANT,BRONX,JEROME AVENUE,Mexican,11.0,A,03/05/2015,low income
METROPOLITAN CLUB,MANHATTAN,EAST   60 STREET,American,9.0,A,03/25/2015,high income
CROWN FRIED CHICKEN,MANHATTAN,AVENUE D,Chicken,20.0,B,09/02/2015,medium income
LA BOITE EN BOIS,MANHATTAN,WEST   68 STREET,French,2.0,A,06/25/2015,high income
THE LIBRARY,MANHATTAN,AVENUE A,"Bottled beverages, including water, sodas, juices, etc.",17.0,B,06/09/2016,medium income
THE SUMMIT,MANHATTAN,AVENUE C,American,6.0,A,07/22/2015,medium income
RIPE JUICE BAR & GRILL,QUEENS,AUSTIN STREET,American,13.0,A,07/16/2015,medium income
FRESCO TORTILLERIA,QUEENS,QUEENS BOULEVARD,Tex-Mex,11.0,A,05/13/2015,medium income
JUST SALAD,MANHATTAN,BROADWAY,Salads,9.0,A,06/01/2016,high income
LUKE'S PIZZA,BRONX,SOUTHERN BOULEVARD,Pizza,10.0,A,04/08/2015,low income
IHOP,BRONX,EAST  174 STREET,American,20.0,B,01/12/2015,low income
WHITE CASTLE,BRONX,WEBSTER AVENUE,Hamburgers,10.0,A,11/13/2013,low income
TITOS EMPANADAS Y MAS,BRONX,JEROME AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",26.0,B,09/25/2015,low income
CITY ISLAND LOBSTER HOUSE,BRONX,BRIDGE STREET,Seafood,7.0,A,02/01/2017,medium income
METROPOLITAN OPERA,MANHATTAN,LINCOLN CENTER PLAZA,American,12.0,A,06/13/2016,high income
STARBUCKS,MANHATTAN,MADISON AVENUE,Caf̩/Coffee/Tea,9.0,A,12/23/2014,high income
SERENDIPITY 3,MANHATTAN,EAST   60 STREET,American,12.0,A,08/31/2016,high income
INASE SUSHI RESTAURANT,MANHATTAN,1 AVENUE,Japanese,6.0,A,01/15/2016,high income
BAYARD BO KY RESTAURANT,MANHATTAN,BAYARD ST,Chinese,12.0,A,04/15/2016,high income
MARKET CAFE,MANHATTAN,LEXINGTON AVENUE,American,11.0,A,06/17/2014,high income
AKIMOTO SUSHI,MANHATTAN,CHURCH STREET,Japanese,5.0,A,09/23/2015,high income
DA MIKELE,MANHATTAN,CHURCH STREET,Italian,7.0,A,03/02/2016,high income
SUN SAI GAI RESTAURANT,MANHATTAN,CANAL STREET,Chinese,11.0,A,06/23/2014,high income
18 RESTAURANT,MANHATTAN,EAST   81 STREET,Jewish/Kosher,22.0,B,02/25/2014,high income
LA MIRABELLE RESTAURANT,MANHATTAN,WEST   86 STREET,French,13.0,A,10/23/2015,high income
PUFFY'S TAVERN,MANHATTAN,HUDSON STREET,American,7.0,A,10/01/2014,high income
CORNERSTONE TAVERN/THE STAG'S HEAD,MANHATTAN,2 AVENUE,Irish,5.0,A,02/02/2015,high income
H & H MIDTOWN BAGELS EAST,MANHATTAN,2 AVENUE,Bagels/Pretzels,23.0,B,11/09/2016,high income
LICKETY SPLIT,BRONX,CITY ISLAND AVENUE,"Ice Cream, Gelato, Yogurt, Ices",6.0,A,06/04/2015,medium income
PARADISE CAFE NY RESTAURANT,BRONX,OGDEN AVENUE,Spanish,13.0,A,01/06/2015,low income
FABENE PIZZA,BRONX,GRAND CONCOURSE,Pizza/Italian,9.0,A,06/29/2017,low income
101 DELI,QUEENS,ROCKAWAY BEACH BOULEVARD,Delicatessen,11.0,A,01/28/2014,medium income
LA MONEDA RESTAURANT,BRONX,JEROME AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,01/22/2016,low income
BEACON BAR,MANHATTAN,BROADWAY,American,12.0,A,05/13/2015,high income
WOLF AND LAMB,MANHATTAN,EAST   48 STREET,Steak,12.0,A,01/26/2017,high income
ROYALE,MANHATTAN,AVENUE C,American,9.0,A,03/11/2015,medium income
SUBWAY,MANHATTAN,BROADWAY,Sandwiches/Salads/Mixed Buffet,7.0,A,02/27/2017,high income
SAN GERMAN CUCHIFRITO,BRONX,TIFFANY STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,05/15/2015,low income
ALIBABA,MANHATTAN,AMSTERDAM AVENUE,Jewish/Kosher,5.0,A,07/24/2017,high income
SHAN DONG DUMPLING,MANHATTAN,MOSCO STREET,Chinese,7.0,A,05/01/2015,high income
NINO'S RESTAURANT,MANHATTAN,1 AVENUE,Italian,13.0,A,10/03/2016,high income
CHANCE 11,BROOKLYN,FULTON STREET,American,21.0,B,06/13/2016,medium income
NEW HONG KONG RESTAURANT I,BRONX,EAST TREMONT AVENUE,Chinese,11.0,A,04/11/2017,low income
LE PAIN QUOTIDIEN,MANHATTAN,BROADWAY,American,13.0,A,01/15/2016,high income
CORFU GRILL,QUEENS,AUSTIN STREET,Greek,7.0,A,03/03/2015,medium income
JOE'S GINGER RESTAURANT,MANHATTAN,PELL STREET,Chinese,8.0,A,03/20/2017,high income
LE PAIN QUOTIDIEN,MANHATTAN,3 AVENUE,French,12.0,A,11/02/2015,high income
OVERLOOK,MANHATTAN,EAST   44 STREET,American,13.0,A,12/22/2014,high income
LE MOULIN A CAFE,MANHATTAN,YORK AVENUE,Caf̩/Coffee/Tea,7.0,A,05/13/2016,high income
AURORA SOHO,MANHATTAN,BROOME STREET,Italian,13.0,A,08/06/2014,high income
MILLIE'S DELI,QUEENS,JACKSON AVENUE,Delicatessen,13.0,A,05/28/2015,medium income
NAYA EXPRESS,MANHATTAN,3 AVENUE,Mediterranean,9.0,A,02/04/2015,high income
ONE EAST OCEAN PALACE,QUEENS,QUEENS BLVD,Chinese,12.0,A,03/02/2017,medium income
TRIBECA GRILL,MANHATTAN,GREENWICH STREET,American,10.0,A,11/13/2014,high income
LITTLE CAESARS,BRONX,EAST  149 STREET,Pizza,11.0,A,05/24/2016,low income
TISANE PHARMACY,MANHATTAN,EAST   86 STREET,Caf̩/Coffee/Tea,12.0,A,02/13/2017,high income
CORRADO BREAD AND PASTRY,MANHATTAN,LEXINGTON AVENUE,Caf̩/Coffee/Tea,20.0,B,12/01/2014,high income
OLD JOHN'S LUNCHEONETTE,MANHATTAN,WEST   67 STREET,American,12.0,A,03/17/2016,high income
CAFE LALO,MANHATTAN,WEST   83 STREET,Caf̩/Coffee/Tea,50.0,C,09/24/2014,high income
ELIM DELI CAFE,MANHATTAN,LEXINGTON AVENUE,Delicatessen,20.0,B,02/08/2017,high income
CAFETERIA (USPS BLDNG),QUEENS,20 AVENUE,American,70.0,C,05/14/2014,medium income
MACCHIATO ESPRESSO BAR,MANHATTAN,FIFTH AVENUE,Caf̩/Coffee/Tea,10.0,A,11/28/2016,high income
SABOR A MEXICO TAQUERIA,MANHATTAN,1 AVENUE,Mexican,9.0,A,09/23/2015,medium income
Da Gennaro,MANHATTAN,MULBERRY STREET,Italian,7.0,A,10/23/2014,high income
SERAFINA GRILL,MANHATTAN,EAST 61 ST STREET,Italian,18.0,B,08/25/2016,high income
EL SAZON IDEAL RESTAURANT,BRONX,WEST BURNSIDE AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19.0,B,10/27/2016,low income
SUBWAY,QUEENS,BROADWAY,Sandwiches,6.0,A,04/18/2016,high income
MAGNOLIA BAKERY,MANHATTAN,COLUMBUS AVENUE,Bakery,7.0,A,02/17/2016,high income
NEW QQ CAFE AND BAKERY,QUEENS,MAIN ST,Bakery,10.0,A,11/20/2014,low income
MEERA DELI,QUEENS,44 DRIVE,Delicatessen,24.0,B,05/29/2015,medium income
SWAGAT,MANHATTAN,AMSTERDAM AVENUE,Indian,5.0,A,02/23/2015,high income
SHUN LEE PALACE RESTAURANT,MANHATTAN,EAST   55 STREET,Chinese,13.0,A,04/22/2016,high income
CLINTON RESTAURANT,QUEENS,CLINTONVILLE STREET,Italian,11.0,A,06/27/2017,medium income
MON CHER MARKET,MANHATTAN,BROADWAY,American,45.0,C,08/21/2013,high income
FAIRFIELD INN & SUITES,QUEENS,40 ROAD,Continental,18.0,B,10/02/2014,medium income
LITTLE ITALY PIZZA,MANHATTAN,PARK PLACE,Pizza,10.0,A,02/29/2016,high income
THE NATIONAL,MANHATTAN,EAST   50 STREET,American,19.0,B,07/20/2015,high income
MOCA ASIAN BISTRO,QUEENS,70 ROAD,Asian,26.0,B,10/15/2014,medium income
MACCHIATO ESPRESSO BAR,MANHATTAN,EAST   44 STREET,Caf̩/Coffee/Tea,12.0,A,02/19/2016,high income
SUNRISE MART,MANHATTAN,EAST   41 STREET,Japanese,11.0,A,01/19/2016,high income
NICE PIZZA,BROOKLYN,FRANKLIN AVENUE,Pizza,19.0,B,04/07/2017,medium income
EATS,MANHATTAN,LEXINGTON AVENUE,American,13.0,A,09/04/2014,high income
SOHO GRAND HOTEL,MANHATTAN,WEST BROADWAY,American,9.0,A,04/14/2017,high income
JG MELON RESTAURANT,MANHATTAN,3 AVENUE,American,30.0,C,04/02/2015,high income
OVERLOOK,MANHATTAN,EAST   44 STREET,American,10.0,A,08/03/2016,high income
HILL CAFE,BROOKLYN,PUTNAM AVENUE,French,11.0,A,12/23/2014,medium income
THE GREAT BURRITO MEXICAN KITCHEN,MANHATTAN,AMSTERDAM AVENUE,Mexican,10.0,A,11/28/2016,high income
CHEEBURGER CHEEBURGER,QUEENS,QUEENS BOULEVARD,Hamburgers,9.0,A,05/01/2015,medium income
FIG & OLIVE,MANHATTAN,LEXINGTON AVENUE,Mediterranean,7.0,A,11/23/2015,high income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,2.0,A,04/01/2014,high income
LA MIA PIZZA,MANHATTAN,1 AVENUE,Pizza,12.0,A,01/08/2014,high income
CENTRAL MARKET NEW YORK,MANHATTAN,VANDERBILT AVENUE,Italian,11.0,A,09/14/2016,high income
NECTAR OF 82ND STREET,MANHATTAN,MADISON AVENUE,American,7.0,A,02/06/2015,high income
SUBWAY,MANHATTAN,3 AVENUE,Sandwiches,10.0,A,05/12/2017,high income
NEW FRESCO TORTILLAS,MANHATTAN,READE STREET,Tex-Mex,12.0,A,04/23/2014,high income
LUCIEN RESTAURAUNT,MANHATTAN,1 AVENUE,French,12.0,A,06/27/2014,medium income
DUNKIN' DONUTS,BROOKLYN,3 AVENUE,Donuts,4.0,A,06/28/2017,high income
DON FILIPPO RESTAURANT,MANHATTAN,LEXINGTON AVENUE,Italian,2.0,A,04/13/2017,high income
T-BROTHERS PIZZERIA,BRONX,ALDUS STREET,Pizza/Italian,21.0,Z,08/24/2017,low income
FINANCIER PATISSERIE,MANHATTAN,VANDERBILT AVENUE,American,7.0,A,04/08/2016,high income
XING SHUN DA RESTAURANT,QUEENS,KISSENA BLVD,Chinese,9.0,A,08/04/2016,low income
UNITED GROCERY & DELI,MANHATTAN,HUDSON STREET,Delicatessen,16.0,B,12/04/2014,high income
MCDONALD'S,MANHATTAN,BROADWAY,American,13.0,A,11/02/2015,high income
MONA'S,MANHATTAN,AVENUE B,American,8.0,A,04/15/2015,medium income
PIO HOT BAGELS,STATEN ISLAND,ROSSVILLE AVENUE,Bagels/Pretzels,12.0,A,06/24/2014,medium income
ACE BAR,MANHATTAN,EAST    5 STREET,American,7.0,A,09/12/2014,medium income
ORIGINAL RAY'S PIZZA,MANHATTAN,LEXINGTON AVENUE,Pizza,5.0,P,03/10/2014,high income
JG MELON RESTAURANT,MANHATTAN,3 AVENUE,American,33.0,C,08/01/2016,high income
MR. WONTON,QUEENS,JACKSON AVENUE,Chinese,11.0,A,01/31/2017,medium income
TERRA,MANHATTAN,WEST BROADWAY,Italian,8.0,A,04/24/2017,high income
JACOB'S PICKLES,MANHATTAN,AMSTERDAM AVENUE,American,18.0,B,04/30/2013,high income
DESNUDA,MANHATTAN,EAST    7 STREET,Mexican,11.0,A,04/26/2016,medium income
FLORINDA RESTAURANT,BRONX,PROSPECT AVENUE,Spanish,22.0,B,11/04/2015,low income
BUKHARA GRILL,MANHATTAN,EAST   49 STREET,Indian,4.0,A,01/31/2017,high income
HARMONIE CLUB,MANHATTAN,EAST   60 STREET,American,12.0,A,05/28/2015,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,12.0,A,09/01/2016,high income
ETHOS GALLERY,MANHATTAN,1 AVENUE,Greek,27.0,B,01/12/2017,high income
STARBUCKS,MANHATTAN,3 AVENUE,Caf̩/Coffee/Tea,2.0,A,03/02/2017,high income
STARBUCKS,MANHATTAN,PARK AVENUE,Caf̩/Coffee/Tea,9.0,A,04/03/2015,high income
ANOTHEROOM,MANHATTAN,WEST BROADWAY,American,0.0,A,08/19/2016,high income
SHAKE SHACK,MANHATTAN,EAST   86 STREET,American,18.0,B,10/08/2014,high income
TINY'S AND THE BAR UPSTAIRS,MANHATTAN,WEST BROADWAY,American,12.0,A,04/30/2015,high income
BOROUGH RESTAURANT,BROOKLYN,FRANKLIN AVENUE,American,5.0,A,06/28/2016,medium income
CASA ADELA RESTAURANT,MANHATTAN,AVENUE C,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18.0,B,11/12/2015,medium income
BOARDWALK BAGEL,QUEENS,ROCKAWAY BEACH DRIVE,Bagels/Pretzels,13.0,A,03/07/2016,medium income
MANOR OKTOBERFEST FOREST HILLS,QUEENS,YELLOWSTONE BOULEVARD,German,12.0,A,01/28/2015,medium income
CAFE CORTADITO,MANHATTAN,EAST    3 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.0,A,03/19/2014,medium income
MCDONALD'S,BRONX,3 AVENUE,Hamburgers,10.0,A,07/09/2014,high income
MCDONALD'S,BRONX,3 AVENUE,Hamburgers,10.0,A,07/09/2014,low income
NICOLA'S RESTAURANT,MANHATTAN,EAST   84 STREET,Italian,12.0,A,07/21/2017,high income
VIA QUADRONNO,MANHATTAN,EAST   73 STREET,Italian,9.0,A,08/01/2014,high income
FLIP,MANHATTAN,3 AVENUE,American,12.0,A,04/27/2016,high income
DORRIAN'S RED HAND RESTAURANT,MANHATTAN,2 AVENUE,Irish,9.0,A,05/15/2017,high income
CITY DINER,MANHATTAN,BROADWAY,American,12.0,A,04/30/2015,high income
GRAND SICHUAN EASTERN,MANHATTAN,2 AVENUE,Chinese,20.0,B,06/23/2016,high income
TRIBECA PARK CAFE,MANHATTAN,WALKER STREET,Delicatessen,5.0,A,05/22/2015,high income
CASA PROMESA,BRONX,EAST  175 STREET,American,10.0,A,05/25/2017,low income
STARBUCKS,MANHATTAN,MAIN STREET,Caf̩/Coffee/Tea,3.0,A,12/29/2016,medium income
STARBUCKS,MANHATTAN,MAIN STREET,Caf̩/Coffee/Tea,3.0,A,12/29/2016,low income
PREVITI PIZZA,MANHATTAN,EAST   41 STREET,Pizza,26.0,B,09/02/2014,high income
CAFE LUXEMBOURG,MANHATTAN,WEST   70 STREET,French,10.0,A,04/05/2016,high income
EL RINCON DE LA VIEJA BAKERY AND RESTAURANT,QUEENS,BOWNE STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.0,A,09/11/2014,low income
M1-5,MANHATTAN,WALKER STREET,American,13.0,A,01/24/2017,high income
PICO,QUEENS,BEACH  129 STREET,Mexican,13.0,A,10/21/2014,medium income
PRET A MANGER,MANHATTAN,LEXINGTON AVENUE,Sandwiches,10.0,A,07/05/2017,high income
THE CORNELL CENTER OF NEW YORK,MANHATTAN,EAST   44 STREET,American,7.0,A,08/10/2015,high income
ALITALIA PIZZA RESTAURANT,BRONX,EAST TREMONT AVENUE,Pizza,13.0,A,06/30/2016,low income
BANTER,QUEENS,QUEENS BOULEVARD,Irish,8.0,A,02/13/2017,medium income
GRAY'S PAPAYA,MANHATTAN,BROADWAY,Hotdogs,7.0,A,02/18/2014,high income
SMILER'S DELI,MANHATTAN,MADISON AVENUE,Delicatessen,11.0,A,07/15/2016,high income
WEATHER UP,MANHATTAN,DUANE STREET,American,14.0,B,10/18/2016,high income
SALIMAR,BRONX,EAST  138 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.0,A,06/18/2016,low income
HK CAFE,QUEENS,MAIN ST,Chinese,11.0,Z,08/14/2017,low income
ONE AND ONE,MANHATTAN,1 AVENUE,Irish,11.0,A,04/06/2015,medium income
HANSON DRY,BROOKLYN,FULTON STREET,American,13.0,A,01/15/2016,medium income
D'ANGELO'S PIZZA,QUEENS,QUEENS BOULEVARD,Pizza/Italian,12.0,A,04/10/2014,medium income
THE MANSION,MANHATTAN,YORK AVENUE,American,10.0,A,03/02/2015,high income
BEARDED LADY,BROOKLYN,WASHINGTON AVENUE,American,7.0,A,07/07/2017,medium income
A SAFFRON THREAD,MANHATTAN,CHAMBERS STREET,Indian,13.0,A,08/25/2016,high income
AJISAI,MANHATTAN,LEXINGTON AVENUE,Japanese,18.0,B,07/25/2014,high income
STARBUCKS,MANHATTAN,1 AVENUE,Caf̩/Coffee/Tea,2.0,A,03/23/2017,high income
STARBUCKS,MANHATTAN,1 AVENUE,Caf̩/Coffee/Tea,2.0,A,03/23/2017,medium income
HEARTLAND BAGELS 11,STATEN ISLAND,ROSSVILLE AVENUE,Caf̩/Coffee/Tea,23.0,B,12/04/2013,medium income
OSLO COFFEE ROASTERS,MANHATTAN,EAST   75 STREET,Caf̩/Coffee/Tea,10.0,A,08/01/2014,high income
CASA ADELA RESTAURANT,MANHATTAN,AVENUE C,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21.0,B,06/30/2016,medium income
BURGER KING,BRONX,JEROME AVENUE,Hamburgers,10.0,A,11/21/2016,low income
BELLE HARBOR STEAKHOUSE,QUEENS,BEACH  116 STREET,Steak,8.0,A,02/10/2016,medium income
SUBWAY,QUEENS,QUEENS BLVD,Sandwiches,17.0,B,01/11/2016,medium income
FLORINDA RESTAURANT,BRONX,PROSPECT AVENUE,Spanish,20.0,B,05/15/2017,low income
TIRAMISU RESTAURANT,MANHATTAN,3 AVENUE,Italian,12.0,A,04/18/2016,high income
XI'AN FAMOUS FOODS,QUEENS,MAIN ST,Chinese,12.0,A,02/03/2015,low income
LIPS RESTAURANT,MANHATTAN,EAST   56 STREET,American,9.0,A,03/18/2016,high income
DAY BREAK CAFE RESTAURANT,QUEENS,34 AVENUE,American,11.0,A,07/22/2015,medium income
TAMASHII RAMEN,QUEENS,VERNON BLVD,Japanese,7.0,A,03/22/2017,medium income
MELA'S CAFE,BRONX,WASHINGTON AVENUE,Spanish,12.0,A,11/04/2015,low income
T-BROTHERS PIZZERIA,BRONX,ALDUS STREET,Pizza/Italian,11.0,A,03/19/2015,low income
MOCA ASIAN BISTRO,QUEENS,70 ROAD,Asian,46.0,C,05/15/2014,medium income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,5.0,A,11/20/2014,high income
GENES @ BARNEYS,MANHATTAN,MADISON AVENUE,American,4.0,A,05/06/2016,high income
KO SUSHI,MANHATTAN,2 AVENUE,Japanese,13.0,A,11/07/2016,high income
CHIPOTLE MEXICAN GRILL,MANHATTAN,BROADWAY,Mexican,5.0,A,01/20/2016,high income
MARKET RESTAURANT (C-D BLOCK),BRONX,FOOD CENTER DRIVE,American,19.0,B,06/25/2014,low income
NOL BU FOOD,QUEENS,41 AVENUE,Korean,8.0,A,05/28/2014,low income
CHERYL'S GLOBAL SOUL,BROOKLYN,UNDERHILL AVENUE,American,19.0,B,05/03/2016,medium income
DUNKIN' DONUTS,BRONX,WEST BURNSIDE AVENUE,Donuts,4.0,A,05/05/2016,low income
CHAVELA'S,BROOKLYN,FRANKLIN AVENUE,Mexican,10.0,A,12/10/2014,medium income
UNION CLUB OF CITY OF NEW YORK,MANHATTAN,EAST   69 STREET,French,7.0,A,11/24/2014,high income
PARNELL'S PUB,MANHATTAN,EAST   53 STREET,Irish,26.0,B,08/01/2016,high income
THE ORIGINAL VINCENT'S ESTABLISH 1904,MANHATTAN,MOTT STREET,Italian,9.0,A,03/29/2017,high income
BUA,MANHATTAN,ST MARKS PLACE,American,11.0,A,08/25/2014,medium income
STARBUCKS,MANHATTAN,PARK AVENUE,Caf̩/Coffee/Tea,9.0,A,06/20/2017,high income
DOMINO'S,MANHATTAN,WEST   72 STREET,Pizza,13.0,A,07/12/2016,high income
FAIRFIELD INN & SUITES,QUEENS,40 ROAD,Continental,12.0,A,06/20/2016,medium income
PHO BANG RESTAURANT,QUEENS,KISSENA BOULEVARD,Vietnamese/Cambodian/Malaysia,13.0,A,02/15/2017,low income
PIO PIO,BRONX,CYPRESS AVENUE,Peruvian,11.0,A,09/19/2016,low income
Z-TWO DINER & LOUNGE,STATEN ISLAND,VETERANS ROAD WEST,American,13.0,A,02/23/2016,medium income
PYLOS,MANHATTAN,EAST    7 STREET,Greek,13.0,A,04/28/2015,medium income
ZUCKER'S BAGELS AND SMOKED FISH,MANHATTAN,CHAMBERS STREET,Bagels/Pretzels,12.0,A,05/19/2017,high income
LIN'S GOURMET,MANHATTAN,2 AVENUE,Chinese,13.0,A,07/05/2017,high income
JOE COFFEE,MANHATTAN,LEXINGTON AVENUE,Caf̩/Coffee/Tea,9.0,A,11/18/2014,high income
VILLA CEMITA,MANHATTAN,AVENUE A,Mexican,30.0,C,06/29/2017,medium income
PIZZA HUT,BRONX,WESTCHESTER AVENUE,Pizza,6.0,A,02/03/2017,low income
IL POSTINO,MANHATTAN,EAST   49 STREET,Italian,15.0,B,07/28/2014,high income
BROOME STREET BAR,MANHATTAN,WEST BROADWAY,American,13.0,A,09/04/2014,high income
THE COSMOPOLITAN CLUB,MANHATTAN,EAST   66 STREET,American,11.0,A,09/21/2015,high income
MOODY'S CAFETERIA,MANHATTAN,GREENWICH STREET,American,13.0,A,05/19/2017,high income
SANDRO'S,MANHATTAN,EAST   81 STREET,Italian,27.0,B,10/29/2014,high income
M1-5,MANHATTAN,WALKER STREET,American,13.0,A,05/28/2014,high income
BENTON,QUEENS,CRESCENT ST,Japanese,24.0,B,05/18/2017,medium income
LUKE'S LOBSTER,MANHATTAN,EAST    7 STREET,Seafood,12.0,A,03/23/2016,medium income
LAZY POINT,MANHATTAN,SPRING STREET,American,7.0,A,07/28/2017,high income
DAILY PRESS BED-STUY,BROOKLYN,FRANKLIN AVENUE,Caf̩/Coffee/Tea,9.0,A,06/11/2014,medium income
TONG HAI TUNG BAKERY,QUEENS,MAIN STREET,Bakery,13.0,A,06/16/2016,low income
SPRING NATURAL KITCHEN,MANHATTAN,COLUMBUS AVENUE,American,18.0,B,10/29/2014,high income
JONES WOOD FOUNDRY,MANHATTAN,EAST   76 STREET,English,17.0,B,06/20/2016,high income
MANDARIN ORIENTAL HOTEL-CAFETERIA,MANHATTAN,COLUMBUS CIRCLE,American,4.0,A,08/01/2017,high income
ECUADORIAN FOOD RESTAURANT,QUEENS,34 AVENUE,Spanish,10.0,A,08/12/2016,medium income
MARKET RESTAURANT (C-D BLOCK),BRONX,FOOD CENTER DRIVE,American,8.0,A,01/07/2015,low income
NEW SUNFLOWER,BRONX,GERARD AVENUE,Chinese,12.0,A,12/13/2014,low income
PIZZA HUT,BRONX,WESTCHESTER AVENUE,Pizza,10.0,A,11/09/2015,low income
THE ISLANDS,BROOKLYN,WASHINGTON AVENUE,Caribbean,4.0,A,12/30/2015,medium income
GOOD FORTUNE RESTAURANT,QUEENS,KISSENA BOULEVARD,Chinese,12.0,A,06/16/2016,low income
