INCOME LEVEL,DBA,STREET
high income,(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),CENTRAL PARK WEST
high income,5 NAPKIN BURGER,BROADWAY
high income,STARBUCKS,COLUMBUS AVENUE
high income,CAFE EIGHTY TWO,BROADWAY
high income,VAN LEEUWEN ICE CREAM,AMSTERDAM AVENUE
high income,BRAD'S BURGERS & BBQ,COLUMBUS AVENUE
high income,REDFARM,BROADWAY
high income,BARNEY GREENGRASS,AMSTERDAM AVENUE
high income,CARMINE'S,BROADWAY
high income,CILANTRO,COLUMBUS AVENUE
high income,E'S BAR,AMSTERDAM AVENUE
high income,CITY DINER,BROADWAY
high income,JUICE PRESS @EQUINOX,AMSTERDAM AVENUE
high income,CHIRPING CHICKEN,AMSTERDAM AVENUE
high income,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,W 79 STREET
high income,EMACK & BOLIO'S,AMSTERDAM AVENUE
high income,CHIPOTLE MEXICAN GRILL,BROADWAY
high income,UNO CHICAGO GRILL,COLUMBUS AVENUE
high income,BEER SHOP,AMSTERDAM AVENUE
high income,KING FOOD,AMSTERDAM AVENUE
high income,COLUMBUS AVE DELI & CAFE,COLUMBUS AVENUE
high income,NYLO NYC,BROADWAY
high income,THE GIN MILL,AMSTERDAM AVENUE
high income,THE COTTAGE,AMSTERDAM AVENUE
high income,PIZZERIA SIRENETTA,AMSTERDAM AVENUE
high income,MADE IN NEW YORK PIZZA,AMSTERDAM AVENUE
high income,LUCCIOLA,AMSTERDAM AVENUE
high income,SUBSTANCE ORGANIC JUICERY,BROADWAY
high income,RADIO AMSTERDAM,AMSTERDAM AVENUE
high income,H&H MIDTOWN BAGELS EAST,COLUMBUS AVENUE
high income,COTTA,COLUMBUS AVENUE
high income,HAN DYNASTY,WEST   85 STREET
high income,GARI Columbus,COLUMBUS AVENUE
high income,JG MELON,AMSTERDAM AVENUE
high income,DUNKIN',AMSTERDAM AVENUE
high income,FLOR DE MAYO,AMSTERDAM AVENUE
high income,LA SIRENE UWS,AMSTERDAM AVENUE
high income,VIN SUR VINGT,WEST   84 STREET
medium income,SUBWAY,MAIN STREET
medium income,CHINA ONE,MAIN STREET
medium income,STARBUCKS,MAIN STREET
medium income,CHONGQING HOT POT,MAIN STREET
medium income,NISI,MAIN STREET
medium income,PICCOLA TRATTORIA,MAIN STREET
medium income,FUJI EAST,MAIN STREET
medium income,THE CAFE,WEST LOOP ROAD
medium income,SUBWAY,MAIN STREET
medium income,MARTHA'S COUNTRY BAKERY,AUSTIN STREET
medium income,MUNCH,AUSTIN ST
medium income,TACO KING,108 STREET
medium income,DIRTY PIERRES BISTRO,STATION SQUARE
medium income,FOREST HILLS INDIAN CUISINE,YELLOWSTONE BLVD
medium income,DESERT RAIN LOUNGE,METROPOLITAN AVE
medium income,MITO ASIAN FUSION,108TH ST
medium income,DUNKIN',METROPOLITAN AVENUE
medium income,WING WAH RESTAURANT,METROPOLITAN AVENUE
medium income,ROVE,AUSTIN ST
medium income,REDWOOD DELI,QUEENS BLVD
medium income,SUSHI AKIO,YELLOWSTONE BOULEVARD
medium income,MANOR OKTOBERFEST FOREST HILLS,YELLOWSTONE BOULEVARD
medium income,COBBLESTONE PUB,QUEENS BOULEVARD
medium income,ALBERTO'S,METROPOLITAN AVENUE
medium income,DUE FRATELLI,QUEENS BLVD
medium income,D'ANGELO'S PIZZA,QUEENS BOULEVARD
medium income,FOREST HILLS DINER,AUSTIN STREET
medium income,FAY DA BAKERY,QUEENS BOULEVARD
medium income,FOREST HILLS BAGELS,QUEENS BOULEVARD
medium income,TROYKA/DA MIKELLE PALACE/MIKELLE CORNER/SUSHI & STEAK HOUSE,QUEENS BOULEVARD
medium income,GUANTANAMERA,QUEENS BLVD
medium income,SUSHI TIME,AUSTIN STREET
medium income,BONELLE PASTRY SHOP,ASCAN AVENUE
medium income,BEIJING DUMPLING HOUSE OF FOREST HILLS,QUEENS BLVD
medium income,RED MANGO,QUEENS BOULEVARD
medium income,NADEZHDA,108TH ST
medium income,XHale,AUSTIN ST
medium income,RIPE JUICE BAR & GRILL,AUSTIN STREET
medium income,COMPADRES 77 MEXICAN RESTAURANT,QUEENS BLVD
medium income,FAN SHUN CHINESE RESTAURANT,108TH ST
medium income,BILLIARD COMPANY,AUSTIN STREET
medium income,DEASURA,METROPOLITAN AVENUE
medium income,HANG SHING KITCHEN,METROPOLITAN AVENUE
medium income,NICK'S BISTRO,METROPOLITAN AVENUE
medium income,LA DOLCE ITALIA BAKERY,METROPOLITAN AVENUE
medium income,RED HOUSE KITCHEN,YELLOWSTONE BOULEVARD
medium income,STARBUCKS,QUEENS BOULEVARD
medium income,MOCA ASIAN BISTRO,70 ROAD
medium income,DUNKIN',QUEENS BOULEVARD
medium income,LA BOULANGERIE,72 ROAD
medium income,RED PIPE CAFE,AUSTIN ST
medium income,SUBWAY,71 AVENUE
medium income,MEMORIES OF SHANGHAI,AUSTIN STREET
medium income,KISSFISH,AUSTIN ST
medium income,REEF,72 AVENUE
medium income,SONG'S DUMPLING CAFE,METROPOLITAN AVE
medium income,ARZU RESTAURANT,QUEENS BLVD
medium income,"DUNKIN', BASKIN ROBBINS",AUSTIN ST
medium income,FOREST HILL STATION HOUSE,CONTINENTAL AVENUE
medium income,AGRA PALACE,QUEENS BOULEVARD
medium income,THE TAP HOUSE,AUSTIN STREET
medium income,CINEMART CINEMAS,METROPOLITAN AVENUE
medium income,HINOKI,AUSTIN ST
medium income,718 HOOKAH LOUNGE,AUSTIN ST
medium income,BAGELICIOUS,108 STREET
medium income,REN WEN NOODLE FACTORY,QUEENS BLVD
medium income,PAMPAS ARGENTINAS,METROPOLITAN AVENUE
medium income,AGED,70TH RD
medium income,FOREST HILLS INDIAN CUISINE,YELLOWSTONE BLVD
medium income,EL COYOTE,AUSTIN STREET
medium income,CORFU GRILL,AUSTIN STREET
medium income,Tamashii Ramen,AUSTIN ST
medium income,KING DAVID/MIKIHANA SUSHI,QUEENS BOULEVARD
medium income,AUSTIN PUBLIC,AUSTIN STREET
medium income,PINK FOREST,AUSTIN ST
medium income,POLLO INKA PERU,QUEENS BOULEVARD
medium income,THE BUND,QUEENS BLVD
medium income,PANDA,YELLOWSTONE BLVD
medium income,ROSALIA PIZZA,QUEENS BLVD
medium income,D'ANGELO'S PIZZERIA AND RESTAURANT,108 STREET
medium income,DUNKIN',QUEENS BOULEVARD
medium income,ROAST N CO,QUEENS BLVD
medium income,Mi Tea,CONTINENTAL AVE
medium income,METRO TACO,METROPOLITAN AVENUE
medium income,"DUNKIN', BASKIN ROBBINS",108 STREET
medium income,CHINA KING,QUEENS BLVD
medium income,ASIAN BOWL,QUEENS BLVD
medium income,PORTOVINO,ASCAN AVENUE
medium income,PIZZA PALACE CAFE,108 STREET
medium income,QUEENS BAGELS & DELICATESSEN,METROPOLITAN AVE
medium income,NINE THAI,QUEENS BLVD
medium income,MOJO LATIN,AUSTIN STREET
medium income,STIX RESTAURANT,QUEENS BOULEVARD
medium income,MCDONALD'S,METROPOLITAN AVENUE
medium income,SUBWAY,QUEENS BOULEVARD
medium income,DUNKIN',YELLOWSTONE BOULEVARD
medium income,QUEENS BULLY,QUEENS BLVD
medium income,CHO-SEN GARDEN,108 STREET
medium income,NEW PINANG,QUEENS BOULEVARD
medium income,TU CASA,QUEENS BLVD
medium income,AGORA TAVERNA,AUSTIN STREET
medium income,AMAR PERUVIAN KITCHEN,AUSTIN ST
medium income,GLORIA PIZZA,QUEENS BOULEVARD
medium income,KATSUNO,METROPOLITAN AVENUE
medium income,SINGAS FAMOUS PIZZA,108 STREET
medium income,NARITA JAPANESE RESTAURANT,70 ROAD
medium income,GREAT WALL CHINESE RESTAURANT,QUEENS BLVD
medium income,FOREST HILLS CAFE/COFFEE SHOP,QUEENS BLVD
medium income,FOREST HILL BAGEL,QUEENS BOULEVARD
medium income,POKE STATION,QUEENS BLVD
medium income,FOREST HILLS BAGELS,QUEENS BOULEVARD
medium income,ACEY DUCEY'S,METROPOLITAN AVENUE
medium income,MIKES PIZZA,YELLOWSTONE BOULEVARD
medium income,YELLOWSTONE SUSHI,SELFRIDGE ST
medium income,FOREST HILLS CAFE/COFFEE SHOP,QUEENS BLVD
medium income,COMPADRES 77 MEXICAN RESTAURANT,QUEENS BLVD
medium income,TGI FRIDAYS 2837,AUSTIN ST
medium income,SPY C CUISINE,AUSTIN ST
medium income,BETH TORAH KOSHER CATERERS,QUEENS BOULEVARD
medium income,ARZU RESTAURANT,QUEENS BLVD
medium income,DEASURA,METROPOLITAN AVENUE
medium income,SILK CAKES,METROPOLITAN AVE
medium income,PLAZA CAFE,QUEENS BLVD
medium income,REDWOOD DELI,QUEENS BLVD
medium income,TACO KING,108 STREET
medium income,T-SWIRL CREPE,AUSTIN ST
medium income,L'AMOUR,QUEENS BOULEVARD
medium income,SALUTE KOSHER RESTAURANT,108 STREET
medium income,AUSTIN PUBLIC,AUSTIN STREET
medium income,DOMINO'S,METROPOLITAN AVE
medium income,MOCA ASIAN BISTRO,70 ROAD
medium income,TROYKA/DA MIKELLE PALACE/MIKELLE CORNER/SUSHI & STEAK HOUSE,QUEENS BOULEVARD
medium income,VILLAGE GRILL,YELLOWSTONE BOULEVARD
medium income,LA BOULANGERIE,72 ROAD
medium income,HANG SHING KITCHEN,METROPOLITAN AVENUE
medium income,SUBWAY,QUEENS BLVD
medium income,RED HOUSE KITCHEN,YELLOWSTONE BOULEVARD
medium income,KUNG FU TEA,AUSTIN STREET
medium income,EXPRESS SOFT TACO ONE,QUEENS BLVD
medium income,NUMERO 28,70 ROAD
medium income,BONELLE PASTRY SHOP,ASCAN AVENUE
medium income,KEUKA KAFE A WINE BAR,QUEENS BOULEVARD
medium income,CHEEBURGER CHEEBURGER,QUEENS BOULEVARD
medium income,CHIPOTLE MEXICAN GRILL,AUSTIN STREET
medium income,DUNKIN',QUEENS BOULEVARD
medium income,HOT BIALYS & BAGELS,QUEENS BOULEVARD
medium income,OBA GRILL,AUSTIN ST
medium income,MCDONALD'S,METROPOLITAN AVENUE
medium income,SPY C CUISINE,AUSTIN ST
medium income,5 BURRO CAFE,AUSTIN STREET
medium income,KING KEW GARDEN CHINESE RESTAURANT,QUEENS BOULEVARD
medium income,"DUNKIN', BASKIN ROBBINS",AUSTIN ST
medium income,BOSTON MARKET,71 AVENUE
medium income,SORRY NOT SORRY,AUSTIN STREET
medium income,LITTLE BEAR PLAY CAFE,QUEENS BLVD
medium income,JERUSALEM BAGELS,108TH ST
medium income,SUSHI YASU,AUSTIN STREET
medium income,TEN ZEN ASIAN CUISINE,AUSTIN ST
medium income,TOV-LI SHAWARMA,108TH ST
medium income,NICK'S BISTRO,METROPOLITAN AVENUE
medium income,BANTER,QUEENS BOULEVARD
medium income,BAGELS FOR YOU,QUEENS BOULEVARD
medium income,RIM TIN MEDITTEREAN,METROPOLITAN AVE
medium income,LILLIAN PIZZERIA,69 AVENUE
medium income,BEIJING DUMPLING HOUSE OF FOREST HILLS,QUEENS BLVD
medium income,RED MANGO,QUEENS BOULEVARD
medium income,ARZU RESTAURANT,QUEENS BLVD
medium income,FOREST HILL BAGEL,QUEENS BOULEVARD
medium income,UMI SUSHI BAR & TERIYAKI GRILL,METROPOLITAN AVENUE
medium income,ROAST N CO,QUEENS BLVD
medium income,MEMORIES OF SHANGHAI,AUSTIN STREET
medium income,LA VIGNA,METROPOLITAN AVENUE
medium income,IL POETA,METROPOLITAN AVENUE
medium income,BANGKOK CUISINE,70 ROAD
medium income,COBBLESTONE PUB,QUEENS BOULEVARD
medium income,DEASURA,METROPOLITAN AVENUE
medium income,FAY DA BAKERY,QUEENS BOULEVARD
medium income,TGI FRIDAYS 2837,AUSTIN ST
medium income,ONE EAST OCEAN PALACE,QUEENS BLVD
medium income,GUANTANAMERA,QUEENS BLVD
medium income,T-BONE DINER,QUEENS BOULEVARD
medium income,REEF,72 AVENUE
medium income,DIRTY PIERRES BISTRO,STATION SQUARE
medium income,LA DOLCE ITALIA BAKERY,METROPOLITAN AVENUE
medium income,ASIAN FORTUNE RESTAURANT,QUEENS BOULEVARD
medium income,GLORIA PIZZA,QUEENS BOULEVARD
medium income,XHale,AUSTIN ST
medium income,DANTE'S PIZZA,METROPOLITAN AVENUE
medium income,SUSHI TIME,AUSTIN STREET
medium income,FRESCO TORTILLERIA,QUEENS BOULEVARD
medium income,RED PIPE CAFE,AUSTIN ST
medium income,SUBWAY,71 AVENUE
medium income,XIN TASTE HAND PULL NOODLE,AUSTIN ST
medium income,DUNKIN',METROPOLITAN AVENUE
medium income,FOREST HILLS CAFE/COFFEE SHOP,QUEENS BLVD
medium income,SHAKE SHACK,AUSTIN ST
medium income,NADEZHDA,108TH ST
medium income,STARBUCKS,QUEENS BOULEVARD
medium income,MIKES PIZZA,YELLOWSTONE BOULEVARD
medium income,ROVE,AUSTIN ST
medium income,MITO ASIAN FUSION,108TH ST
medium income,D'ANGELO'S PIZZA,QUEENS BOULEVARD
medium income,ONE EAST OCEAN PALACE,QUEENS BLVD
medium income,STARBUCKS,CONTINENTAL AVENUE
medium income,SIAM SWAN THAI CUISINE,AUSTIN ST
medium income,EL REY LATINO RESTAURANT,108TH ST
medium income,FUJI JAPANESE CUISINE,QUEENS BLVD
medium income,MICHAEL'S BAGELS,ASCAN AVENUE
medium income,BAREBURGER,AUSTIN STREET
medium income,KING KEW GARDEN CHINESE RESTAURANT,QUEENS BOULEVARD
medium income,A SUSHI,AUSTIN STREET
medium income,JADE EATERY AND LOUNGE,STATION SQUARE
medium income,NICK'S BISTRO,METROPOLITAN AVENUE
medium income,QUEEN'S PIZZA,QUEENS BOULEVARD
medium income,MCDONALD'S,71 AVENUE
medium income,MISFITS NUTRITION,QUEENS BLVD
medium income,CARVEL ICE CREAM,METROPOLITAN AVENUE
medium income,FOREST HILLS DINER,AUSTIN STREET
medium income,T-SWIRL CREPE,AUSTIN ST
medium income,SUBWAY,QUEENS BLVD
medium income,SALUTE KOSHER RESTAURANT,108 STREET
medium income,KEUKA KAFE A WINE BAR,QUEENS BOULEVARD
medium income,FRESCO TORTILLERIA,QUEENS BOULEVARD
medium income,MUNCH,AUSTIN ST
medium income,MEZZE,QUEENS BOULEVARD
medium income,GLORIA PIZZA,QUEENS BOULEVARD
medium income,SHAKE SHACK,AUSTIN ST
medium income,QUEENS BULLY,QUEENS BLVD
medium income,BAMBOO YA,AUSTIN STREET
medium income,XIN TASTE HAND PULL NOODLE,AUSTIN ST
medium income,DOMINOS,METROPOLITAN AVE
medium income,RIPE JUICE BAR & GRILL,AUSTIN STREET
medium income,D'ANGELO'S PIZZA,QUEENS BOULEVARD
medium income,NICK'S PIZZA,ASCAN AVENUE
medium income,MOCA ASIAN BISTRO,70 ROAD
medium income,THAI POT,QUEENS BLVD
medium income,TROYKA/DA MIKELLE PALACE/MIKELLE CORNER/SUSHI & STEAK HOUSE,QUEENS BOULEVARD
medium income,ALBERTO'S,METROPOLITAN AVENUE
medium income,TACO KING,108 STREET
medium income,FENG'S GARDEN,QUEENS BOULEVARD
medium income,GUANTANAMERA,QUEENS BLVD
medium income,MCDONALD'S,METROPOLITAN AVENUE
medium income,STARBUCKS,AUSTIN STREET
medium income,FAN SHUN CHINESE RESTAURANT,108TH ST
medium income,STARBUCKS,QUEENS BOULEVARD
medium income,MIDWAY CINEMAS,QUEENS BOULEVARD
medium income,PARIS BAGUETTE,CONTINENTAL AVE
medium income,QUEEN'S PIZZA,QUEENS BOULEVARD
medium income,DUE FRATELLI,QUEENS BLVD
medium income,FUJI JAPANESE CUISINE,QUEENS BLVD
medium income,BUFFALO WILD WINGS,71 AVENUE
medium income,NEW YORK HOT BAGELS & BIALYS,QUEENS BOULEVARD
medium income,IRISH COTTAGE,72 AVENUE
medium income,STARBUCKS,AUSTIN STREET
medium income,OVOSODO,QUEENS BOULEVARD
medium income,DUNKIN',71 AVENUE
medium income,CABANA,70 ROAD
medium income,PASTICCERIA AMORE D'ITALIA,71 ROAD
medium income,AUSTIN HOUSE,AUSTIN STREET
medium income,D'ANGELO'S PIZZERIA AND RESTAURANT,108 STREET
medium income,THE BUND,QUEENS BLVD
medium income,KING WOK KITCHEN,ASCAN AVENUE
medium income,AGRA PALACE,QUEENS BOULEVARD
medium income,DEE'S RESTAURANT,METROPOLITAN AVENUE
medium income,JACK & NELLIE'S,ASCAN AVENUE
medium income,CORFU GRILL,AUSTIN STREET
medium income,ROSALIA PIZZA,QUEENS BLVD
medium income,FOREST HILLS INDIAN CUISINE,YELLOWSTONE BLVD
medium income,THE TAP HOUSE,AUSTIN STREET
medium income,E FRESH,AUSTIN ST
medium income,NARITA JAPANESE RESTAURANT,70 ROAD
medium income,BETH TORAH KOSHER CATERERS,QUEENS BOULEVARD
medium income,POLLO INKA PERU,QUEENS BOULEVARD
medium income,MATIZ LATIN CUISINE,QUEENS BLVD
medium income,UMI SUSHI BAR & TERIYAKI GRILL,METROPOLITAN AVENUE
medium income,AUSTIN PUBLIC,AUSTIN STREET
medium income,PIZZA & PASTA CITY,108TH ST
medium income,ANDRE'S HUNGARIAN STRUDELS & PASTRIES,QUEENS BLVD
medium income,SUSHI KOI,QUEENS BOULEVARD
medium income,SUSHI FUSSION,64 ROAD
medium income,BAGELICIOUS,108 STREET
medium income,GOTTA GETTA BAGEL OF QUEENS,71 AVENUE
medium income,ROAST N CO,QUEENS BLVD
medium income,SHOGUN,QUEENS BLVD
medium income,FOREST HILLS LITTLE LEAGUE,FLEET STREET
medium income,CONTINENTAL LUNCHEONETTE & DELI,METROPOLITAN AVENUE
medium income,DESERT RAIN LOUNGE,METROPOLITAN AVE
medium income,STAR OF SIAM THAI KITCHEN,METROPOLITAN AVENUE
medium income,STARBUCKS,CONTINENTAL AVENUE
medium income,CARVEL ICE CREAM,METROPOLITAN AVENUE
medium income,ASIAN BOWL,QUEENS BLVD
medium income,AGED,70TH RD
medium income,EL COYOTE,AUSTIN STREET
medium income,MANOR OKTOBERFEST FOREST HILLS,YELLOWSTONE BOULEVARD
medium income,A SUSHI,AUSTIN STREET
medium income,FOREST HILLS DINER,AUSTIN STREET
medium income,FOREST HILL STATION HOUSE,CONTINENTAL AVENUE
medium income,MOJO LATIN,AUSTIN STREET
medium income,EL REY LATINO RESTAURANT,108TH ST
medium income,MCDONALD'S,71 AVENUE
medium income,PORTOVINO,ASCAN AVENUE
medium income,KISSFISH,AUSTIN ST
medium income,DUNKIN',QUEENS BOULEVARD
medium income,MUNCH,AUSTIN ST
medium income,MY KITCHEN,METROPOLITAN AVENUE
medium income,WING WAH RESTAURANT,METROPOLITAN AVENUE
medium income,PAHAL ZAN RESTAURANT,CONTINENTAL AVENUE
medium income,LA VIGNA,METROPOLITAN AVENUE
medium income,AGORA TAVERNA,AUSTIN STREET
medium income,NEW PINANG,QUEENS BOULEVARD
medium income,O'HANLON'S BAR,QUEENS BOULEVARD
medium income,MICHAEL'S BAGELS,ASCAN AVENUE
medium income,T-BONE DINER,QUEENS BOULEVARD
medium income,CHO-SEN GARDEN,108 STREET
medium income,BIEN CUIT,FRANKLIN AVENUE
medium income,NEW HOOD HING CHINESE RESTAURANT,UNDERHILL AVENUE
medium income,R&D FOODS,VANDERBILT AVENUE
medium income,FULTON THAI RESTAURANT,FULTON STREET
medium income,Bed-Stuy Fish Fry,FULTON STREET
medium income,BAR MERIDIAN,PROSPECT PLACE
medium income,MAYFIELD,FRANKLIN AVENUE
medium income,LITTLE MISS MUFFIN N HER STUFFIN,WASHINGTON AVENUE
medium income,NEW COUNTRY HOUSE,FULTON STREET
medium income,THE HOLLER,FRANKLIN AVENUE
medium income,NATURAL BLEND,WASHINGTON AVENUE
medium income,DIWAN GRILL,FRANKLIN AVENUE
medium income,HUNKY DORY,FRANKLIN AVENUE
medium income,PUERTO VIEJO RESTAURANT,GRAND AVENUE
medium income,MISC,FRANKLIN AVENUE
medium income,OCEAN 8 AT BROWNSTONE BILLIARDS,FLATBUSH AVENUE
medium income,CHERYL'S GLOBAL SOUL,UNDERHILL AVENUE
medium income,FULTON GRAND,FULTON STREET
medium income,THE ATLANTIC BOAT CLUB,ATLANTIC AVENUE
medium income,ZAYTOONS RESTAURANT,VANDERBILT AVENUE
medium income,HUNGRY GHOST,STERLING PLACE
medium income,BAR CHUKO,VANDERBILT AVENUE
medium income,BLOOM CAFE,FULTON STREET
medium income,KITTEN CAFE,FRANKLIN AVENUE
medium income,PENNY HOUSE CAFE,WASHINGTON AVENUE
medium income,AITA RESTAURANT/MAYFLOWER,GREENE AVENUE
medium income,MEME'S,WASHINGTON AVENUE
medium income,TOOKER ALLEY,WASHINGTON AVENUE
medium income,THE BARLOW,PARK PLACE
medium income,BIERWAX,VANDERBILT AVENUE
medium income,PASHA PIZZA PITA,CLASSON AVENUE
medium income,BROOKLYN SHAWARMA,FULTON STREET
medium income,TAYLOR MADE JAMAICAN EATERY,CLASSON AVENUE
medium income,NEW VEGETARIAN PALATE,WASHINGTON AVENUE
medium income,ISLAND CZ CAFE,FRANKLIN AVENUE
medium income,OGLIASTRO,WASHINGTON AVENUE
medium income,3 LUIGI'S PIZZA,GRAND AVENUE
medium income,OXALIS,WASHINGTON AVENUE
medium income,STARBUCKS,FLATBUSH AVENUE
medium income,GRAN CAFFE DE MARTINI,VANDERBILT AVENUE
medium income,LOOK BY PLANT LOVE HOUSE,WASHINGTON AVENUE
medium income,CHILO'S,FRANKLIN AVENUE
medium income,CITRICO,WASHINGTON AVENUE
medium income,ODE TO BABEL,DEAN STREET
medium income,MUSE,WASHINGTON AVENUE
medium income,THE FINCH,GREENE AVENUE
medium income,PRATT INSTITUTE - HIGGINS HALL (AVI),SAINT JAMES PLACE
medium income,HONG KONG CAFE CHINESE RESTAURANT,FRANKLIN AVENUE
medium income,MILLE-FEUILLE,VANDERBILT AVENUE
medium income,NACHO MACHO TACOS,PROSPECT PLACE
medium income,DRINK,FRANKLIN AVENUE
medium income,DIVINE EXPRESS CATERING,ATLANTIC AVENUE
medium income,STOCKED,VANDERBILT AVENUE
medium income,C'MON EVERYBODY,FRANKLIN AVENUE
medium income,DAILY PRESS BED-STUY,FRANKLIN AVENUE
medium income,IZZY ROSE,GREENE AVENUE
medium income,LITTLE ZELDA,FRANKLIN AVENUE
medium income,GLADY'S,FRANKLIN AVENUE
medium income,NEW PEKING,CLASSON AVENUE
medium income,VEGGIES,FRANKLIN AVENUE
medium income,CHIPOTLE MEXICAN GRILL #2879,FLATBUSH AVENUE
medium income,AITA TRATTORIA,FRANKLIN AVENUE
medium income,EMMA'S TORCH CAFE (Inside Library),GRAND ARMY PLZ
medium income,UDOM THAI,WASHINGTON AVENUE
medium income,ST ENDS,FRANKLIN AVENUE
medium income,NEW IMPERIAL KITCHEN,FULTON STREET
medium income,CHANCE 11,FULTON STREET
medium income,THE ISLANDS,WASHINGTON AVENUE
medium income,URBAN VINTAGE,GRAND AVENUE
medium income,BUNSMITH,FRANKLIN AVENUE
medium income,THE BREUKELEN COFFEE HOUSE,FRANKLIN AVENUE
medium income,STARBUCKS #54446,LAFAYETTE AVENUE
medium income,BLUE MARBLE ICE CREAM,UNDERHILL AVENUE
medium income,RIO KITCHEN AND WINE,SAINT JOHNS PLACE
medium income,EAGLE CITY TEX MEX CHINESE FOOD,FULTON STREET
medium income,HONG KONG CAFE CHINESE RESTAURANT,FRANKLIN AVENUE
medium income,NICE PIZZA,FRANKLIN AVENUE
medium income,BARCKLAYS PIZZA & PASTA,FULTON STREET
medium income,OLDE BROOKLYN BAGEL SHOPPE,VANDERBILT AVENUE
medium income,OLMSTED,VANDERBILT AVE
medium income,YUMMY TACO,WASHINGTON AVENUE
medium income,SPEEDY ROMEO,CLASSON AVENUE
medium income,BEST BURGER PALACE,ATLANTIC AVENUE
medium income,SCREAMER'S PIZZERIA,FRANKLIN AVENUE
medium income,FRANKLIN PARK/DUTCH BOY BURGER,ST JOHNS PLACE
medium income,WASHINGTON AVENUE CAFE,WASHINGTON AVENUE
medium income,XOCHITL TAQUERIA,FULTON STREET
medium income,BARBONCINO,FRANKLIN AVENUE
medium income,SILVER RICE,PARK PLACE
medium income,MUMBAI PLACE,VANDERBILT AVENUE
medium income,NIMBOODA INDIAN CUISINE,WASHINGTON AVENUE
medium income,MILK BAR,VANDERBILT AVENUE
medium income,NURISH,WASHINGTON AVENUE
medium income,CHAVELA'S,FRANKLIN AVENUE
medium income,JAMES RESTAURANT,CARLTON AVENUE
medium income,FINN'S CORNER,WASHINGTON AVENUE
medium income,BANHMIGOS,PARK PLACE
medium income,3 D'S DELIGHT RESTAURANT & BAKERY,WASHINGTON AVENUE
medium income,El Barrio Burritos,FRANKLIN AVENUE
medium income,BERG'N BEER HALL/MIGHTY QUINN'S/LANDHAUS/PIZZA BY CHARLIE/ JIANBING,BERGEN STREET
medium income,SIT & WONDER,WASHINGTON AVENUE
medium income,SAPID INDIAN RESTAURANT,WASHINGTON AVENUE
medium income,NOURISH THAI,VANDERBILT AVENUE
medium income,ENERGY FUEL,FULTON STREET
medium income,THE BAKERY ON BERGEN,BERGEN STREET
medium income,HOPS HILL,FULTON STREET
medium income,SWEET BASIL,FRANKLIN AVENUE
medium income,LOOK BY PLANT LOVE HOUSE,WASHINGTON AVENUE
medium income,SHANE'S CAFE,WASHINGTON AVENUE
medium income,OLEA,LAFAYETTE AVENUE
medium income,SISTERS,FULTON STREET
medium income,PELICANA CHICKEN,GREENE AVENUE
medium income,3 LUIGI'S PIZZA,GRAND AVENUE
medium income,MAC SHACK,FULTON STREET
medium income,MIRRORS ON GRAND,GRAND AVENUE
medium income,JOYCE BAKESHOP,VANDERBILT AVENUE
medium income,BLKYN BURRO,FULTON STREET
medium income,CENT'ANNI,FRANKLIN AVENUE
medium income,BEARDED LADY,WASHINGTON AVENUE
medium income,DIVINE EXPRESS CATERING,ATLANTIC AVENUE
medium income,BANH MI PLACE,WASHINGTON AVENUE
medium income,CROWN FRIED CHICKEN AND PIZZA,FULTON STREET
medium income,THE CRABBY SHACK,FRANKLIN AVENUE
medium income,GOLDA,FRANKLIN AVENUE
medium income,BAR CHUKO,VANDERBILT AVENUE
medium income,PRATT INSTITUTE - HIGGINS HALL (AVI),SAINT JAMES PLACE
medium income,THE MARKET,LAFAYETTE AVENUE
medium income,L.A. BURRITO,UNDERHILL AVENUE
medium income,CAFE ELOISE,PROSPECT PLACE
medium income,ENERGY FUEL,FULTON STREET
medium income,J'S WONG,FRANKLIN AVENUE
medium income,AMORINA,VANDERBILT AVENUE
medium income,BROOKLYN SHAWARMA,FULTON STREET
medium income,GINO'S CUCINA BRICK OVEN PIZZA,WASHINGTON AVENUE
medium income,STOCKED BURGER,WASHINGTON AVENUE
medium income,STOCKED,VANDERBILT AVENUE
medium income,STARBUCKS,FLATBUSH AVENUE
medium income,KE LAI LE ASIAN CUISINE,WASHINGTON AVENUE
medium income,FAUSTO,FLATBUSH AVENUE
medium income,CATALDO'S RESTAURANT,VANDERBILT AVENUE
medium income,LINCOLN STATION,LINCOLN PLACE
medium income,HILL CAFE,PUTNAM AVENUE
medium income,BCAKENY,WASHINGTON AVENUE
medium income,DORIS,FULTON STREET
medium income,COVENHOVEN,CLASSON AVENUE
medium income,GUEROS BROOKLYN,PROSPECT PLACE
medium income,BENY'S DELICE,FULTON STREET
medium income,CROWN FRIED CHICKEN,FULTON STREET
medium income,AMERICAN VEGAN,VANDERBILT AVENUE
medium income,KINANM LOUNGE,ATLANTIC AVENUE
medium income,THE CROWN INN,FRANKLIN AVENUE
medium income,CHOICE MARKET,LAFAYETTE AVENUE
medium income,HANSON DRY,FULTON STREET
medium income,BROOKLYN HOMESLICE PIZZERIA,VANDERBILT AVENUE
medium income,THE VANDERBILT,VANDERBILT AVENUE
