INCOME LEVEL,DBA,STREET
high income,AROMA ESPRESSO BAR,CHURCH STREET
high income,LA BELLEZZA PIZZERIA,BROADWAY
high income,ANDY'S DELI,BROADWAY
high income,DOMINO'S,CHURCH STREET
high income,BURRITO MARIACHI,CHURCH STREET
high income,WOODROWS,MURRAY STREET
high income,KAFFE 1668,GREENWICH STREET
high income,B & Co.,PARK PLACE
high income,JOE & THE JUICE (OCULUS WESTFIELD),GREENWICH STREET
high income,LARRA'S POKE BAR,PARK PLACE
high income,APPLE GOURMET,BROADWAY
high income,BLUESPOON COFFEE,CHAMBERS STREET
high income,FIG & OLIVE,LEXINGTON AVENUE
high income,GREEK EATS,1 AVENUE
high income,BURGER HEAVEN,LEXINGTON AVENUE
high income,PIZZA PARK,FIRST AVENUE
high income,BAKER STREET PUB,1 AVENUE
high income,TONY'S DI NAPOLI,3 AVENUE
high income,GOTHAM CAFE,2 AVENUE
high income,AMERICAS CAFE & GRILL,3 AVENUE
high income,STARBUCKS,3 AVENUE
high income,KNICKERBOCKER CLUB,EAST   62 STREET
high income,DONNA MARGHERITIA,2 AVENUE
high income,BEST PIZZA II,1 AVENUE
high income,GREGORYS COFFEE,1 AVENUE
high income,JUICE ISLAND,3 AVENUE
high income,TREADWELL PARK/SUGAR EAST,1 AVENUE
high income,CASABLANCA GRILL,1 AVENUE
high income,EL PORRON,1 AVENUE
high income,HOTEL PIERRE-BANQUET KITCHEN,EAST   61 STREET
high income,COLONY CLUB,PARK AVENUE
high income,CMX-CINEBISTRO,EAST   62 STREET
high income,CHIPOTLE MEXICAN GRILL,3 AVENUE
high income,SUBWAY,1 AVENUE
high income,SUBWAY,2 AVENUE
high income,PADOCA BAKERY,EAST   68 STREET
high income,PICK A BAGEL,LEXINGTON AVENUE
high income,KOME WAZA,1 AVENUE
high income,ALICES TEA CUP CHAPTER 2,EAST   64 STREET
high income,PALAIS,EAST   61 STREET
high income,ZAVO,3 AVENUE
high income,WONG ASIAN FOOD,1 AVENUE
high income,ROCKEFELLER UNIVERSITY - EMPLOYEE DINING,YORK AVENUE
high income,ONE LENOX,1 AVENUE
high income,GOURMET BAGEL,LEXINGTON AVENUE
high income,EATILY FOODS,PARK AVENUE
high income,SUBWAY INN,2 AVENUE
high income,VERITABLE,2 AVENUE
high income,AUGUST,LEXINGTON AVENUE
high income,GINGER ROOT,1 AVENUE
high income,ARABELLE,EAST   64 STREET
high income,RITZ DINER,1 AVENUE
high income,ELIM DELI CAFE,LEXINGTON AVENUE
high income,HALE & HEARTY SOUP,LEXINGTON AVENUE
high income,SERAFINA GRILL,EAST 61 ST STREET
high income,JACKSON HOLE,EAST   64 STREET
high income,L&Y HAWA JUICE STORE,2 AVENUE
high income,REGENCY WHIST CLUB,EAST   67 STREET
high income,HALE & HEARTY SOUP,LEXINGTON AVENUE
high income,WING BISTRO,1 AVENUE
high income,David Burke Tavern,EAST   62 STREET
high income,LOCO COCO,LEXINGTON AVENUE
high income,GINA MEXICANA,EAST   61 STREET
high income,LEZZET TURKISH RESTAURANT,EAST   61 STREET
high income,QUANTUM LEAP,1 AVENUE
high income,"DUNKIN', BASKIN ROBBINS",1 AVENUE
high income,BAGEL EXPRESS II,2 AVENUE
high income,JOHN & TONY'S PIZZA,1 AVENUE
high income,MEDITERRANEO,2 AVENUE
high income,BLUE & GOLD DELI,EAST   62 STREET
high income,MOTI MAHAL DELUX,1 AVENUE
high income,MAYA,1 AVENUE
high income,ZAWA JAPANESE,EAST   66 STREET
high income,CAFE BLU,EAST   62 STREET
high income,SUSHI SEKI,1 AVENUE
high income,DANIEL,EAST   65 STREET
high income,THE SPOTTED DOG,1 AVENUE
high income,SANT AMBROEUS COFFEE BAR,3 AVENUE
high income,STARBUCKS COFFEE,3 AVENUE
high income,OAXACA TAQUERIA,1 AVENUE
high income,GINZA,LEXINGTON AVENUE
high income,FELICE 64 WINE BAR,1 AVENUE
high income,JOE & THE JUICE,LEXINGTON AVENUE
high income,COZY CORNER/CHICKEN LOVER,2 AVENUE
high income,STARBUCKS,1 AVENUE
high income,DYLAN'S CANDY BAR,3 AVENUE
high income,FRED'S AT BARNEY'S,MADISON AVENUE
high income,AMARANTH,EAST   62 STREET
high income,IMLI,1 AVENUE
high income,WONG ASIAN FOOD,1 AVENUE
high income,1ST AVE GOURMET,1 AVENUE
high income,LOEWS REGENCY BAR AND GRILL,PARK AVENUE
high income,ATAMI,2 AVENUE
high income,FAMOUS FAMIGLIA PIZZERIA,1 AVENUE
high income,TONY'S DI NAPOLI,3 AVENUE
high income,DUNKIN',1 AVENUE
high income,DUNKIN',LEXINGTON AVENUE
high income,PICK A BAGEL,LEXINGTON AVENUE
high income,WORLD CUP CAFE (LOCATED INSIDE HUNTER COLLEGE. ENTRANCE IS ON 68TH STREET & LEXINGTON AVE),PARK AVENUE
high income,SHAKESPEARE & CO,LEXINGTON AVENUE
high income,PRIMOLA RESTAURANT,SECOND AVENUE
high income,LOEWS REGENCY BAR AND GRILL,PARK AVENUE
high income,GOTHAM CAFE,2 AVENUE
high income,JO JO,EAST   64 STREET
high income,VERITABLE,2 AVENUE
high income,BARRY'S BOOTCAMP,2 AVENUE
high income,PANDA BUBBLE TEA,LEXINGTON AVENUE
high income,CHIPOTLE MEXICAN GRILL,3 AVENUE
high income,OATH PIZZA,3 AVENUE
high income,1ST AVE GOURMET,1 AVENUE
high income,UPPER EAST CAFE,3 AVENUE
high income,WORLD CUP CAFE (LOCATED INSIDE HUNTER COLLEGE. ENTRANCE IS ON 68TH STREET & LEXINGTON AVE),PARK AVENUE
high income,STARBUCKS,3 AVENUE
high income,JOE & THE JUICE,LEXINGTON AVENUE
high income,SILVER STAR RESTAURANT,2 AVENUE
high income,BEL AMI,EAST   68 STREET
high income,ANGKOR CAMBODIAN BISTRO,EAST   64 STREET
high income,MAJORELLE,EAST   63 STREET
high income,LE GOURMET,1 AVENUE
high income,FIGAROLA PIZZERIA,1 AVENUE
high income,SEL ET POIVRE RESTAURANT,LEXINGTON AVENUE
high income,BEST PIZZA II,1 AVENUE
high income,PIZZA PARK,FIRST AVENUE
high income,CHIPOTLE MEXICAN GRILL,3 AVENUE
high income,THE COSMOPOLITAN CLUB,EAST   66 STREET
