DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
SUBWAY,BROADWAY,high income,Manhattan,10031,Sandwiches,10,A
GIOVANNI 25,EAST   83 STREET,high income,Manhattan,10028,Italian,4,A
REED SMITH,LEXINGTON AVENUE,high income,Manhattan,10022,American,8,A
CLUB A STEAKHOUSE,EAST   58 STREET,high income,Manhattan,10022,Steakhouse,12,A
LI'S GARDEN,MAIN ST,low income,Queens,11355,Chinese,11,A
GREAT N.Y. NOODLETOWN,BOWERY,high income,Manhattan,10013,Chinese,17,B
COMPADRES 77 MEXICAN RESTAURANT,QUEENS BLVD,medium income,Queens,11375,Mexican,13,A
TAKUMEN,50TH AVE,medium income,Queens,11101,Japanese,27,B
CHIPOTLE MEXICAN GRILL,BROADWAY,high income,Manhattan,10032,Tex-Mex,4,A
TITOS EMPANADAS Y MAS,JEROME AVENUE,low income,Bronx,10452,Latin American,15,B
BIBBLE & SIP,HESTER STREET,high income,Manhattan,10013,Coffee/Tea,8,A
STARBUCKS COFFEE COMPANY,1 AVENUE,high income,Manhattan,10022,Coffee/Tea,5,P
CRIMSON & RYE,EAST   54 STREET,high income,Manhattan,10022,American,12,A
WILD GINGER VEGETARIAN KITCHEN,BROOME STREET,high income,Manhattan,10013,Vegetarian,12,A
LORENZO & MARIA'S KITCHEN,THIRD AVENUE,high income,Manhattan,10028,Continental,9,A
11TH ST BAR,EAST   11 STREET,medium income,Manhattan,10009,American,7,A
ZAWA JAPANESE,EAST   66 STREET,high income,Manhattan,10065,Japanese,7,A
STARBUCKS,PARK AVENUE,high income,Manhattan,10016,Coffee/Tea,4,A
US KENNEDY FRIED CHICKEN & PIZZA,UNIVERSITY AVENUE,low income,Bronx,10453,Chicken,12,A
BURGER INN AND GRILL,CHURCH STREET,high income,Manhattan,10013,Indian,9,A
SUSHI AKIO,YELLOWSTONE BOULEVARD,medium income,Queens,11375,Japanese,12,A
STARBUCKS,5 AVENUE,high income,Manhattan,10017,Coffee/Tea,4,A
JUST SALAD,BROADWAY,high income,Manhattan,10279,Salads,11,A
FIVESTUY CAFE,STUYVESANT OVAL,medium income,Manhattan,10009,Sandwiches,2,P
MOTHERSHIP MEAT COMPANY,40TH AVE,medium income,Queens,11101,American,11,A
NYLO NYC,BROADWAY,high income,Manhattan,10024,American,8,A
COME & GET SUM FISH & CHIPS,EAST  163 STREET,low income,Bronx,10456,Seafood,12,A
BROOKLYN SHAWARMA,FULTON STREET,medium income,Brooklyn,11238,Middle Eastern,12,A
LOVERBOY,AVENUE C,medium income,Manhattan,10009,Pizza,12,A
NEW CHENG'S ORIENTAL EXPRESS,BOWNE ST,low income,Queens,11355,Chinese,12,A
BIBBLE & SIP,HESTER STREET,high income,Manhattan,10013,Coffee/Tea,7,A
NEW WOKS KITCHEN,KISSENA BLVD,low income,Queens,11355,Chinese,24,B
BRODO BROTH SHOP,BROADWAY,high income,Manhattan,10023,Soups,15,B
TORI'S MEXICAN CUISINE,EAST  149 STREET,low income,Bronx,10455,Mexican,13,A
DOMINOS,METROPOLITAN AVE,medium income,Queens,11375,Pizza,10,A
STARBUCKS,1 AVENUE,high income,Manhattan,10009,Coffee/Tea,5,A
ROSSY'S BAKERY & COFFEE SHOP,EAST    3 STREET,medium income,Manhattan,10009,Spanish,10,A
VIVA EVENTS AND CATERING,EAST   58 STREET,high income,Manhattan,10022,American,28,C
HUNAN DELIGHT,YORK AVENUE,high income,Manhattan,10075,Asian/Asian Fusion,13,A
BAR CHUKO,VANDERBILT AVENUE,medium income,Brooklyn,11238,Japanese,12,A
PIER 25 SNACK BAR,WEST STREET,high income,Manhattan,10013,American,10,A
SUSHI YASAKA,WEST   72 STREET,high income,Manhattan,10023,Japanese,9,A
PITA GRILL,2 AVENUE,high income,Manhattan,10022,Jewish/Kosher,12,A
FIRST STOP BAR & GRILL,QUEENS PLZ S,medium income,Queens,11101,American,12,A
BAR HUGO,GREENWICH STREET,high income,Manhattan,10013,American,12,A
BELLI OSTERIA,FULTON STREET,medium income,Brooklyn,11238,Italian,5,A
CIBO E VINO,BROADWAY,high income,Manhattan,10024,Italian,10,A
MAMAN HUDSON,HUDSON STREET,high income,Manhattan,10013,Coffee/Tea,0,A
LILY REDS,SEGUINE AVENUE,medium income,Staten Island,10309,Other,7,A
VIVA EVENTS AND CATERING,EAST   58 STREET,high income,Manhattan,10022,American,13,A
SPIGA TO GO,WEST   84 STREET,high income,Manhattan,10024,Italian,7,A
INTOXX FITNESS,RICHMOND VALLEY ROAD,medium income,Staten Island,10309,Other,10,A
SWEET CHICK,CARLTON AVENUE,medium income,Brooklyn,11238,American,8,A
STONE BRIDGE PIZZA & SALAD,EAST   41 STREET,high income,Manhattan,10017,Pizza,13,A
STARBUCKS,BROADWAY,high income,Manhattan,10036,Coffee/Tea,2,A
JIMMY'S ON THE GO,EAST  168 STREET,low income,Bronx,10456,American,13,A
QUEEN BAKERY II,CENTRE STREET,high income,Manhattan,10013,Chinese,5,A
TABLE 866 @ COURTYARD MARRIOTT,3 AVENUE,high income,Manhattan,10022,American,9,A
KENNEDY FRIED CHICKEN,JEROME AVENUE,low income,Bronx,10453,Chicken,7,A
SUSHI ISHIKAWA,EAST   74 STREET,high income,Manhattan,10021,Japanese,11,A
BUKA,FULTON STREET,medium income,Brooklyn,11238,African,82,C
JEF CHINESE,2 AVENUE,high income,Manhattan,10017,Chinese,8,A
ARZU RESTAURANT,QUEENS BLVD,medium income,Queens,11375,Jewish/Kosher,12,C
FIG & OLIVE MIDTOWN,EAST   52 STREET,high income,Manhattan,10022,Mediterranean,12,A
CASA DEL MAR RESTAURANT,WEBSTER AVENUE,low income,Bronx,10457,Seafood,10,A
HOJINJUNG,150TH ST,low income,Queens,11355,Korean,9,A
LENWICH,COLUMBUS AVENUE,high income,Manhattan,10023,American,10,A
PRET A MANGER,YORK AVENUE,high income,Manhattan,10021,Soups/Salads/Sandwiches,3,A
SISTINA,EAST   81 STREET,high income,Manhattan,10028,Italian,10,A
JALISCO TACO'S,ST ANNS AVENUE,low income,Bronx,10454,Tex-Mex,33,C
SUBWAY,2 AVENUE,high income,Brooklyn,11220,Sandwiches,3,A
GIOVANNI 25,EAST   83 STREET,high income,Manhattan,10028,Italian,3,A
TAQUERIA LUPITA II,EAST TREMONT AVENUE,low income,Bronx,10460,Mexican,10,A
RALPH'S FAMOUS ITALIAN ICES,CLINTONVILLE STREET,medium income,Queens,11357,Frozen Desserts,12,A
EAR INN,SPRING STREET,high income,Manhattan,10013,American,12,A
Rincon Melania's,QUEENS BLVD,medium income,Queens,11101,Latin American,12,A
LINCOLN CENTER KITCHEN @ DAVID GEFFEN HALL,WEST   65 STREET,high income,Manhattan,10023,American,13,A
AMC THEATRES,BROADWAY,high income,Manhattan,10024,American,13,A
PAESANO'S,MULBERRY STREET,high income,Manhattan,10013,Italian,9,A
BIRYANI AND CHAT,KISSENA BOULEVARD,low income,Queens,11355,Indian,5,A
BALADE,1 AVENUE,medium income,Manhattan,10009,Mediterranean,12,A
JUKAI,EAST   53 STREET,high income,Manhattan,10022,Japanese,10,A
STARBUCKS,2 AVENUE,high income,Manhattan,10016,Coffee/Tea,8,A
SUYO GASTROFUSION,PLAZA DRIVE,low income,Bronx,10452,Spanish,19,B
E.A.T. CAFE,MADISON AVENUE,high income,Manhattan,10028,American,13,A
THE MARKET,LAFAYETTE AVENUE,medium income,Brooklyn,11238,Asian/Asian Fusion,2,A
KENNEDY FRIED CHICKEN,EAST TREMONT AVENUE,low income,Bronx,10457,Chicken,3,A
TEPANGOS PIZZA & MEXICAN FOOD,EAST  138 STREET,low income,Bronx,10454,Pizza,18,B
UNCLE CHARLIE,EAST   45 STREET,high income,Manhattan,10017,American,12,A
CROSSFIT SPOT,AMSTERDAM AVENUE,high income,Manhattan,10023,"Juice, Smoothies, Fruit Salads",12,A
KITTEN CAFE,FRANKLIN AVENUE,medium income,Brooklyn,11238,Coffee/Tea,2,A
GEBHARD'S BEER CULTURE,WEST   72 STREET,high income,Manhattan,10023,American,21,B
JUST SALAD,BROADWAY,high income,Manhattan,10279,Salads,6,A
SUSHI YOU,EAST   51 STREET,high income,Manhattan,10022,Japanese,12,A
TRIPLE 8 RESTAURANT,EAST  152 STREET,low income,Bronx,10455,Chinese,13,A
GEE WHIZ,GREENWICH STREET,high income,Manhattan,10007,American,13,A
MCDONALD'S,3 AVENUE,low income,Manhattan,10016,Hamburgers,8,A
STARBUCKS,1 AVENUE,high income,Manhattan,10065,Coffee/Tea,11,A
CIRO'S PIZZA,BEACH CHANNEL DRIVE,medium income,Queens,11694,Pizza,13,A
BERONBERON,1 AVENUE,medium income,Manhattan,10009,Japanese,8,A
THE DUGOUT,RIVER AVENUE,low income,Bronx,10452,American,10,A
EAST SIDE BILLIARD,EAST   86 STREET,high income,Manhattan,10028,American,22,B
THE LIBRARY,AVENUE A,medium income,Manhattan,10009,Bottled Beverages,3,A
FOUR SEASONS HOTEL,EAST   57 STREET,high income,Manhattan,10022,American,12,A
DOC HOLIDAYS,AVENUE A,medium income,Manhattan,10009,American,7,A
STARBUCKS,BROADWAY,high income,Manhattan,10036,Coffee/Tea,5,A
VIVE LA CREPE,COLUMBUS AVENUE,high income,Manhattan,10023,French,61,Z
TERRACE CAFE (HOGAN LOVELLS),MADISON AVENUE,high income,Manhattan,10017,American,9,A
DILL AND PARSLEY,3 AVENUE,high income,Manhattan,10022,Mediterranean,9,N
SEASHORE RESTAURANT,CITY ISLAND AVENUE,medium income,Bronx,10464,Seafood,11,A
GROTTA AZZURRA,MULBERRY STREET,high income,Manhattan,10013,Italian,7,A
DESNUDA,EAST    7 STREET,medium income,Manhattan,10009,Mexican,7,A
SEIS VECINOS RESTAURANT,PROSPECT AVENUE,low income,Bronx,10455,Spanish,20,B
MANGO MANGO DESSERT,BAYARD STREET,high income,Manhattan,10013,Chinese,12,A
NUNOODLE,1 AVENUE,medium income,Manhattan,10009,Chinese,10,A
LA POTENCIA RESTAURANT,JEROME AVENUE,low income,Bronx,10453,Latin American,13,A
ANGIOLINA'S RESTAURANT,JEROME AVENUE,low income,Bronx,10452,Spanish,26,B
ST REGIS NEW YORK - 20TH FLOOR ROOF BALLROOM,EAST   55 STREET,high income,Manhattan,10022,American,8,A
NO. 1 CHINESE RESTAURANT,WEST TREMONT AVENUE,low income,Bronx,10453,Chinese,18,B
IL POSTO ACCANTO,EAST    2 STREET,medium income,Manhattan,10009,Italian,12,A
EPICERIE BOULUD,GREENWICH STREET,high income,Manhattan,10007,French,4,A
MASTER GRILL,CYPRESS AVENUE,low income,Bronx,10454,Tex-Mex,12,A
CAFETERIA (USPS BLDNG),20 AVENUE,medium income,Queens,11357,American,9,P
PA PA CHICKEN,45TH AVE,low income,Queens,11355,Chicken,12,A
SUN SAI GAI RESTAURANT,CANAL STREET,high income,Manhattan,10013,Chinese,16,B
CLINTON HALL,EAST   51 STREET,high income,Manhattan,10022,American,4,A
MIANSAI,CROSBY STREET,high income,Manhattan,10013,Coffee/Tea,5,A
SCAVELLO'S ON THE ISLAND,CITY ISLAND AVENUE,medium income,Bronx,10464,Italian,15,B
CIPRIANI 42ND STREET,EAST   42 STREET,high income,Manhattan,10017,Italian,9,A
REVISION,AVENUE B,medium income,Manhattan,10009,American,26,B
NAIA DELI GRILL JUICE AND SALAD BAR,WASHINGTON AVENUE,low income,Bronx,10457,American,10,P
SERENA'S,2 AVENUE,high income,Manhattan,10065,Mediterranean,14,B
TORI'S MEXICAN CUISINE,EAST  149 STREET,low income,Bronx,10455,Mexican,11,A
SUN SAI GAI RESTAURANT,CANAL STREET,high income,Manhattan,10013,Chinese,8,A
MCDONALD'S,3 AVENUE,high income,Manhattan,10022,Hamburgers,7,A
UNITED GROCERY & DELI,HUDSON STREET,high income,Manhattan,10013,Sandwiches,9,A
MCDONALD'S,BROADWAY,high income,Brooklyn,11221,Hamburgers,13,A
PAESANO'S,MULBERRY STREET,high income,Manhattan,10013,Italian,12,A
BARNEA BISTRO,EAST   46 STREET,high income,Manhattan,10017,Jewish/Kosher,10,A
RANCH RESTAURANT,SOUTHERN BOULEVARD,low income,Bronx,10460,Caribbean,8,A
LAO CHAO BUNS,BOWNE ST,low income,Queens,11355,Chinese,3,C
DOMINO'S,1 AVENUE,high income,Manhattan,10128,Pizza,0,A
DIAN KITCHEN,EAST    9 STREET,medium income,Manhattan,10009,Chinese,7,A
SAM'S DELI,MULBERRY STREET,high income,Manhattan,10013,American,7,A
CAFFE ROMA,BROOME STREET,high income,Manhattan,10013,Bakery Products/Desserts,2,A
STARBUCKS,3 AVENUE,high income,Manhattan,10003,Coffee/Tea,3,A
SPICE,1 AVENUE,high income,Manhattan,10075,Thai,12,A
ORWASHERS,AMSTERDAM AVENUE,high income,Manhattan,10024,Bakery Products/Desserts,12,A
L&Y HAWA JUICE STORE,2 AVENUE,high income,Manhattan,10065,"Juice, Smoothies, Fruit Salads",13,A
UNITED ARTISTS,38 STREET,medium income,Queens,11101,American,10,A
PARADISE CAFE NY RESTAURANT,OGDEN AVENUE,low income,Bronx,10452,Spanish,20,B
EL BARRIL RESTAURANT,EAST  138 STREET,low income,Bronx,10454,Mexican,2,A
HOUSE OF THAI,40TH AVE,medium income,Queens,11101,Thai,8,A
BELLE REVE,CHURCH STREET,high income,Manhattan,10013,American,9,A
KEUKA KAFE A WINE BAR,QUEENS BOULEVARD,medium income,Queens,11375,American,5,A
MY PIE,LEXINGTON AVENUE,high income,Manhattan,10022,Pizza,12,A
LITTLE CAESARS,WEST MOUNT EDEN AVENUE,low income,Bronx,10452,Pizza,5,A
ITAVOLO,3 AVENUE,high income,Manhattan,10022,American,24,B
STOCKED BURGER,WASHINGTON AVENUE,medium income,Brooklyn,11238,Sandwiches,11,A
GOOD TASTE GARDEN,EAST  149 STREET,low income,Bronx,10455,Chinese,5,A
COMIC STRIP LIVE,2 AVENUE,high income,Manhattan,10028,American,19,B
FUTURE YOU CAFE,EAST    7 STREET,medium income,Manhattan,10009,Coffee/Tea,11,A
ZIOTOTO RESTAURANTE & BAR,PAGE AVENUE,medium income,Staten Island,10309,Italian,2,A
THE PRESS BOX,2 AVENUE,high income,Manhattan,10022,American,10,A
ILMULINO,EAST   60 STREET,high income,Manhattan,10022,Italian,9,A
FLOATING MOUNTAIN,WEST   72 STREET,high income,Manhattan,10023,Coffee/Tea,3,A
H & H MIDTOWN BAGELS EAST,2 AVENUE,high income,Manhattan,10028,Bagels/Pretzels,18,B
HOUSE OF CHENG,EAST  165 STREET,low income,Bronx,10452,Chinese,7,A
MONTE'S BRICK OVEN,ALEXANDER AVENUE,low income,Bronx,10454,Pizza,4,A
SAPPS,JACKSON AVE,medium income,Queens,11101,Japanese,12,A
US KENNEDY FRIED CHICKEN,WEBSTER AVENUE,low income,Bronx,10456,Chicken,7,A
GLORIA PIZZA,QUEENS BOULEVARD,medium income,Queens,11375,Pizza,10,A
BLUE BOTTLE COFFEE,BROADWAY,high income,Manhattan,10013,Coffee/Tea,10,A
COLUMBUS CITIZENS FOUNDATION,EAST   69 STREET,high income,Manhattan,10021,Italian,10,A
SNOW SHOW FLUSHING,41ST AVE,low income,Queens,11355,Frozen Desserts,13,A
MADISON CAFE,EAST BURNSIDE AVENUE,low income,Bronx,10453,American,12,A
XINYA,HUNTS POINT AVENUE,low income,Bronx,10474,Chinese,11,A
STEAM FISH,EAST  149 STREET,low income,Bronx,10455,Seafood,10,A
STARBUCKS COFFEE,WORLD TRADE CENTER,high income,Manhattan,10007,Coffee/Tea,12,A
STARBUCKS,BROADWAY,high income,Queens,11106,Coffee/Tea,2,A
STOUT,EAST   41 STREET,high income,Manhattan,10017,American,11,A
NICK'S PIZZA,ASCAN AVENUE,medium income,Queens,11375,Italian,9,A
STARBUCKS,EAST   69 STREET,high income,Manhattan,10021,Coffee/Tea,11,A
LEXINGTON BRASS,LEXINGTON AVENUE,high income,Manhattan,10017,American,9,A
BEST WESTERN HOTEL HOSPITALITY HOUSE,EAST   49 STREET,high income,Manhattan,10017,American,2,A
CALEXICO,2 AVENUE,high income,Manhattan,10075,Mexican,12,A
SUSHI GINZA ONODERA,5 AVENUE,high income,Manhattan,10017,Japanese,5,A
THE MANSION,YORK AVENUE,high income,Manhattan,10028,American,12,A
LIOLA,149TH ST,medium income,Queens,11357,Italian,17,A
MASTER GRILL,CYPRESS AVENUE,low income,Bronx,10454,Tex-Mex,9,A
PARNELL'S PUB,EAST   53 STREET,high income,Manhattan,10022,Irish,12,A
MADERA CUBAN GRILL,VERNON BOULEVARD,medium income,Queens,11101,Latin American,8,A
STARBUCKS,1 AVENUE,high income,Manhattan,10003,Coffee/Tea,2,A
NOMO SOHO,CROSBY STREET,high income,Manhattan,10013,Mediterranean,12,A
BANTRY BAY PUBLICK HOUSE,GREENPOINT AVENUE,medium income,Queens,11101,Irish,7,A
STARBUCKS,BROADWAY,high income,Manhattan,10036,Coffee/Tea,13,A
MULBERRY & VINE,EAST   44 STREET,high income,Manhattan,10017,American,12,A
GRAND CAFE,GRAND CONCOURSE,low income,Bronx,10457,American,12,A
THE HUNTRESS BAR,41ST AVE,medium income,Queens,11101,American,13,A
SUBWAY,BOSTON ROAD,low income,Bronx,10460,Sandwiches,8,A
EL CAPITAN,EAST  182 STREET,low income,Bronx,10457,Seafood,11,A
MILE 17,1 AVENUE,high income,Manhattan,10021,American,13,A
MCDONALD'S,3RD AVE @164TH ST E,low income,Bronx,10456,Hamburgers,4,A
JAIYA THAI & ORIENTAL RESTAURANT,2 AVENUE,high income,Manhattan,10028,Thai,22,B
VAN LEEUWEN ICE CREAM,2 AVENUE,high income,Manhattan,10028,Frozen Desserts,11,A
ROOT & BONE,EAST    3 STREET,medium income,Manhattan,10009,American,6,A
THE GREATS OF CRAFT,1 AVENUE,high income,Manhattan,10022,American,12,A
SALUMERIA ROSI,AMSTERDAM AVENUE,high income,Manhattan,10023,Italian,12,A
WEATHER UP,DUANE STREET,high income,Manhattan,10013,American,13,A
MILK N' HONEY,EAST   46 STREET,high income,Manhattan,10017,Jewish/Kosher,3,A
DILL AND PARSLEY,MADISON AVENUE,high income,Manhattan,10017,Mediterranean,8,A
SHAKESPEARE & CO,LEXINGTON AVENUE,high income,Manhattan,10065,Coffee/Tea,2,A
MCDONALD'S,3 AVENUE,high income,Brooklyn,11209,Hamburgers,10,A
COCO ROOSTER,MAIN ST,low income,Queens,11355,Chinese,9,A
JOHNNY'S PIZZA RESTAURANT,EAST  180 STREET,low income,Bronx,10457,Pizza,12,A
STARBUCKS,PAGE AVENUE,medium income,Staten Island,10309,Coffee/Tea,7,A
EMERALD INN,WEST   72 STREET,high income,Manhattan,10023,Irish,11,A
OKI POKE & RAMEN,EAST   45 STREET,high income,Manhattan,10017,Hawaiian,11,A
FOO HING KITCHEN,EAST  138 STREET,low income,Bronx,10454,Chinese,5,A
55 THOMAS CAFE,THOMAS STREET,high income,Manhattan,10013,American,10,A
SAMMY'S FISHBOX,CITY ISLAND AVENUE,medium income,Bronx,10464,Seafood,5,A
STARBUCKS,3 AVENUE,high income,Brooklyn,11209,Coffee/Tea,7,A
BARBARESCO,LEXINGTON AVENUE,high income,Manhattan,10065,Italian,12,A
BROOME STREET BAR,WEST BROADWAY,high income,Manhattan,10013,American,10,A
LENWICH,2 AVENUE,high income,Manhattan,10075,American,4,A
LAO CHAO BUNS,BOWNE ST,low income,Queens,11355,Chinese,13,A
SIDEWALK CAFE,COLUMBUS AVENUE,high income,Manhattan,10023,American,12,A
MY PIZZA,UNIVERSITY AVENUE,low income,Bronx,10453,Pizza,10,A
SUTTON CAFE RESTAURANT,FIRST AVENUE,high income,Manhattan,10022,American,13,A
LINCOLN STATION,LINCOLN PLACE,medium income,Brooklyn,11238,American,11,A
NEXUS CLUB NEW YORK,CHURCH STREET,high income,Manhattan,10007,American,5,A
SUBWAY,BROADWAY,high income,Manhattan,10032,Sandwiches,7,P
SAKURA,BEACH  116 STREET,medium income,Queens,11694,Japanese,10,A
BAKER'S PIZZA,AVENUE A,medium income,Manhattan,10009,Pizza,24,B
AL HORNO LEAN MEXICAN,2 AVENUE,high income,Manhattan,10022,Mexican,23,B
LA BELLA VITA,MULBERRY STREET,high income,Manhattan,10013,Italian,10,A
COLONY CLUB,PARK AVENUE,high income,Manhattan,10065,American,2,A
FRIARS NATIONAL ASSOC.,EAST   55 STREET,high income,Manhattan,10022,American,13,A
INSOMNIA COOKIES,AMSTERDAM AVENUE,high income,Manhattan,10024,American,11,A
GRIN AFRICAN AMERICAN RESTAURANT,EAST  168 STREET,low income,Bronx,10456,African,5,A
The Crossbar Cafe,38TH ST,medium income,Queens,11101,Coffee/Tea,5,A
NAPOLI'S BEST PIZZA,EAST TREMONT AVENUE,low income,Bronx,10457,Pizza,2,A
PRATT INSTITUTE - HIGGINS HALL (AVI),SAINT JAMES PLACE,medium income,Brooklyn,11238,Coffee/Tea,10,A
DUNKIN',LEXINGTON AVENUE,high income,Manhattan,10029,Donuts,9,A
GOTTA GETTA PIZZA,TOWNSEND AVENUE,low income,Bronx,10453,Pizza,10,A
BURNSIDE BEER & WINE CAFETERIA,EAST BURNSIDE AVENUE,low income,Bronx,10457,Other,10,A
SSAM TONG,149TH PL,low income,Queens,11355,Korean,6,A
IL MULINO PRIME,WEST BROADWAY,high income,Manhattan,10013,Italian,10,A
GRK,LEXINGTON AVENUE,high income,Manhattan,10017,Greek,13,A
AMC THEATRES,BROADWAY,high income,Manhattan,10003,Hotdogs/Pretzels,5,A
LUNA PIZZA,PARK ROW,high income,Manhattan,10007,Pizza,12,A
GUANTANAMERA,QUEENS BLVD,medium income,Queens,11375,Spanish,18,B
1 BANANA QUEEN,EAST MT EDEN AVENUE,low income,Bronx,10452,"Juice, Smoothies, Fruit Salads",7,A
MIDWAY CINEMAS,QUEENS BOULEVARD,medium income,Queens,11375,American,10,A
LA SIRENE UWS,AMSTERDAM AVENUE,high income,Manhattan,10024,French,5,A
HUNDRED TASTE,MAIN STREET,low income,Queens,11355,Chinese,21,B
MCDONALD'S,QUEENS BOULEVARD,medium income,Queens,11373,Hamburgers,7,A
DONNA MARGHERITIA,2 AVENUE,high income,Manhattan,10065,Italian,11,A
MANDARIN ORIENTAL HOTEL-BANQUET,COLUMBUS CIRCLE at 60th street,high income,Manhattan,10023,Chinese,6,A
CHERYL'S GLOBAL SOUL,UNDERHILL AVENUE,medium income,Brooklyn,11238,American,3,A
ATTRAVERSA,WEST BROADWAY,high income,Manhattan,10013,Italian,13,A
NUHMA,GREENPOINT AVENUE,medium income,Queens,11101,American,13,A
NIMBOODA INDIAN CUISINE,WASHINGTON AVENUE,medium income,Brooklyn,11238,Indian,57,C
LOK HIN,BROOK AVENUE,low income,Bronx,10454,Chinese,17,B
POKE N' ROLL,EAST    9 STREET,medium income,Manhattan,10009,Asian/Asian Fusion,6,A
TERRA,WEST BROADWAY,high income,Manhattan,10013,Italian,7,A
INSOMNIA COOKIES,AMSTERDAM AVENUE,high income,Manhattan,10024,American,10,A
KITARO,AMSTERDAM AVENUE,high income,Manhattan,10024,Chinese/Japanese,7,A
SPICE SYMPHONY,EAST   50 STREET,high income,Manhattan,10022,Indian,26,B
FRUITEA,MAIN STREET,low income,Queens,11355,"Juice, Smoothies, Fruit Salads",5,A
21ST LIC DELI & GROCERY,21ST ST,medium income,Queens,11101,Sandwiches,10,A
SCALINI FEDELI,DUANE STREET,high income,Manhattan,10013,Italian,12,A
STARBUCKS #50611,WEST END AVENUE,high income,Manhattan,10023,Coffee/Tea,2,A
LOS SAZONES LATINO,WOODYCREST AVENUE,low income,Bronx,10452,Latin American,10,A
DANCING CRANE CAFE,5 AVENUE,high income,Manhattan,10065,American,7,A
SALAD BOX USA,PARK PLACE,high income,Manhattan,10007,Salads,12,A
LI'S GARDEN,MAIN ST,low income,Queens,11355,Chinese,30,C
PRET A MANGER,3 AVENUE,high income,Manhattan,10017,Soups/Salads/Sandwiches,9,A
BAYARD BO KY RESTAURANT,BAYARD ST,high income,Manhattan,10013,Chinese,12,A
ITAVOLO,3 AVENUE,high income,Manhattan,10022,American,11,A
FAMOUS FAMIGLIA PIZZA,LEXINGTON AVENUE,high income,Manhattan,10028,Pizza,11,A
JUICY LUCY,AVENUE A,medium income,Manhattan,10009,"Juice, Smoothies, Fruit Salads",5,A
SUBWAY,EAST  163 STREET,low income,Bronx,10459,Sandwiches,2,A
BAREBURGER,AUSTIN STREET,medium income,Queens,11375,American,10,A
SEIS VECINOS RESTAURANT,PROSPECT AVENUE,low income,Bronx,10455,Spanish,28,C
CUT BY WOLFGANG PUCK,CHURCH STREET,high income,Manhattan,10007,Steakhouse,13,A
FAMILY CAFE 2632,3 AVENUE,low income,Bronx,10454,Chinese,7,A
YIA YIA,EAST   69 STREET,high income,Manhattan,10021,Greek,11,A
THAI SON VIETNAMESE CUISINE,BAXTER STREET,high income,Manhattan,10013,Southeast Asian,10,A
SEIS VECINOS RESTAURANT,PROSPECT AVENUE,low income,Bronx,10455,Spanish,12,A
LA BELLA VITA,MULBERRY STREET,high income,Manhattan,10013,Italian,12,A
GREGORYS COFFEE,1 AVENUE,high income,Manhattan,10065,Coffee/Tea,7,A
DARKHORSE,MURRAY STREET,high income,Manhattan,10007,American,12,A
CHIPOTLE MEXICAN GRILL,BROADWAY,high income,Manhattan,10025,Tex-Mex,8,A
SANDWICHERIE OF NEW YORK,EAST   42 STREET,high income,Manhattan,10017,American,12,A
EL RANCHITO DE DAISY,150 STREET,low income,Queens,11355,Latin American,4,A
PRET A MANGER,PARK AVENUE,high income,Manhattan,10016,American,4,A
MON CHER MARKET,BROADWAY,high income,Manhattan,10013,American,10,A
EL JOBO RESTAURANT,EAST  181 STREET,low income,Bronx,10453,Latin American,13,A
VANDAM DELI KITCHEN,VANDAM STREET,high income,Manhattan,10013,American,9,A
POPEYES,JEROME AVENUE,low income,Bronx,10452,Chicken,11,A
GREGORYS COFFEE,MADISON AVENUE,high income,Manhattan,10022,Coffee/Tea,5,A
WISEFISH,GREENWICH STREET,high income,Manhattan,10013,Seafood,9,A
SCHNIPPERS,LEXINGTON AVENUE,high income,Manhattan,10022,Italian,10,A
RICHIE RICH,CEDAR AVENUE,low income,Bronx,10453,Caribbean,13,A
PIZZERIA SIRENETTA,AMSTERDAM AVENUE,high income,Manhattan,10024,Pizza,12,A
CAPRI RISTORANTE PIZZERIA BAR,MULBERRY STREET,high income,Manhattan,10013,Italian,15,B
POPEYES,EAST TREMONT AVENUE,low income,Bronx,10457,Chicken,5,A
CARIDAD EXPRESS RESTAURANT,EAST  138 STREET,low income,Bronx,10454,Latin American,5,A
JENNY RESTAURANT,EAST  169 STREET,low income,Bronx,10456,Latin American,10,A
5 STAR BANQUET,43RD AVE,medium income,Queens,11101,Indian,11,A
TOOKER ALLEY,WASHINGTON AVENUE,medium income,Brooklyn,11238,American,7,A
TEXAS CHICKEN & BURGERS,EAST TREMONT AVENUE,low income,Bronx,10460,Chicken,10,A
SAN MATTEO PIZZERIA E CUCINA,2 AVENUE,high income,Manhattan,10028,Italian,13,A
GONG CHA,EAST   44 STREET,high income,Manhattan,10017,Coffee/Tea,7,A
NEXUS CLUB NEW YORK,CHURCH STREET,high income,Manhattan,10007,American,13,A
TOM'S RESTAURANT,WASHINGTON AVENUE,medium income,Brooklyn,11238,American,12,A
T-SWIRL CREPE,AUSTIN ST,medium income,Queens,11375,Japanese,12,A
NOODLE VILLAGE,MOTT STREET,high income,Manhattan,10013,Chinese,11,A
ARLO ROOFTOP (ART),HUDSON STREET,high income,Manhattan,10013,American,9,A
CASA BELLA,MULBERRY STREET,high income,Manhattan,10013,Italian,8,A
P.J. CLARKE'S,3 AVENUE,high income,Manhattan,10022,American,13,A
