DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
THE POINT AFRICAN CARIBBEAN RESTAURANT,WEBSTER AVENUE,low income,Bronx,10457,African,13,A
MUSE,WASHINGTON AVENUE,medium income,Brooklyn,11238,Thai,3,A
MAMAN,WEST BROADWAY,high income,Manhattan,10013,Sandwiches/Salads/Mixed Buffet,13,A
LANDIN MACARONI & CHEESE,MELROSE AVENUE,low income,Bronx,10455,Mexican,12,A
LATIN CABANA,STEINWAY STREET,medium income,Queens,11101,Latin American,9,A
SUN SAI GAI RESTAURANT,CANAL STREET,high income,Manhattan,10013,Chinese,4,P
A SAFFRON THREAD,CHAMBERS STREET,high income,Manhattan,10007,Indian,5,A
787 COFFEE,EAST    7 STREET,medium income,Manhattan,10009,Coffee/Tea,12,A
T-BONE DINER,QUEENS BOULEVARD,medium income,Queens,11375,American,8,A
BUDDHA BODAI ONE VEGETARIAN RESTAURANT,MOTT STREET,high income,Manhattan,10013,Vegetarian,2,P
SUSHI NOZ,EAST   78 STREET,high income,Manhattan,10075,Japanese,2,A
TALLGRASS BURGER,1 AVENUE,medium income,Manhattan,10009,Hamburgers,10,A
ADORO LEI,HUDSON STREET,high income,Manhattan,10013,Pizza,12,A
STARBUCKS,EAST  149 STREET,low income,Bronx,10455,Coffee/Tea,2,A
EL CALDERO RESTAURANT SPORT BAR,JEROME AVENUE,low income,Bronx,10452,Spanish,11,A
PITA GRILL,2 AVENUE,high income,Manhattan,10022,Jewish/Kosher,7,A
MAMA FINA'S,AVENUE A,medium income,Manhattan,10009,Filipino,13,A
FOOD PASSION,LEXINGTON AVENUE,high income,Manhattan,10028,American,15,B
XO RESTAURANT,HESTER STREET,high income,Manhattan,10013,Chinese,9,A
JOE'S GINGER RESTAURANT,PELL STREET,high income,Manhattan,10013,Chinese,6,A
EL VALLE RESTAURANT,FEATHERBED LANE,low income,Bronx,10452,Latin American,2,A
HOME GARDEN,CROTONA AVENUE,low income,Bronx,10457,Chinese,9,A
BAGEL CLUB,CROSS ISLAND PKWY,medium income,Queens,11360,Other,7,A
CLINTON HALL,EAST   51 STREET,high income,Manhattan,10022,American,9,A
LOCO COCO,LEXINGTON AVENUE,high income,Manhattan,10065,"Juice, Smoothies, Fruit Salads",5,A
SHANGHAI HEPING RESTAURANT,MOTT STREET,high income,Manhattan,10013,Chinese,12,A
ZARO'S BREAD BASKET,EAST   42 STREET,high income,Manhattan,10017,Bakery Products/Desserts,7,A
STARBUCKS,WORTH STREET,high income,Manhattan,10013,Coffee/Tea,8,A
SPARKS STEAK HOUSE,EAST   46 STREET,high income,Manhattan,10017,Steakhouse,7,A
MY MOST FAVORITE FOOD,WEST   72 STREET,high income,Manhattan,10023,Jewish/Kosher,28,C
ARZU RESTAURANT,QUEENS BLVD,medium income,Queens,11375,Jewish/Kosher,20,B
MOTT HAVEN BAR & GRILL,3 AVENUE,low income,Bronx,10454,American,11,A
MARGARITA'S,AVENUE SAINT JOHN,low income,Bronx,10455,Spanish,18,B
LENWICH,COLUMBUS AVENUE,high income,Manhattan,10023,American,12,A
NAIA DELI GRILL JUICE AND SALAD BAR,WASHINGTON AVENUE,low income,Bronx,10457,American,9,A
LOK HIN,BROOK AVENUE,low income,Bronx,10454,Chinese,12,A
ASHLEY'S FINE FOODS,LEXINGTON AVENUE,high income,Manhattan,10017,American,24,B
PIZZA DAMORE,BEACH  116 STREET,medium income,Queens,11694,Pizza,12,A
ELI ZABAR,MADISON AVENUE,high income,Manhattan,10021,American,12,A
SIDEWALK CAFE,COLUMBUS AVENUE,high income,Manhattan,10023,American,5,A
LOCAL & VINE,HUDSON STREET,high income,Manhattan,10013,American,10,A
JIB CATERING,34TH ST,medium income,Queens,11101,American,5,A
THE HUNTERIAN,EAST   70 STREET,high income,Manhattan,10021,American,10,A
SALA THAI,AMSTERDAM AVENUE,high income,Manhattan,10023,Thai,8,A
NARGILA,YORK AVENUE,high income,Manhattan,10028,Jewish/Kosher,10,A
SALVATORE'S NY PIZZA,EAST  183 STREET,low income,Bronx,10453,Pizza,10,A
DILL & PARSLEY,MADISON AVENUE,high income,Manhattan,10017,Mediterranean,2,A
ANGELETTO,2 AVENUE,high income,Manhattan,10017,Italian,10,A
STARBUCKS,BROADWAY,high income,Manhattan,10023,Coffee/Tea,2,A
SOCARRAT EAST,2 AVENUE,high income,Manhattan,10022,Spanish,12,A
FRESH DIRECT CAFETERIA,SAINT ANNS AVENUE,low income,Bronx,10454,American,13,A
MISS LILY'S 7A,AVENUE A,medium income,Manhattan,10009,Caribbean,8,A
CARLOW EAST,LEXINGTON AVENUE,high income,Manhattan,10028,American,10,A
CRIMINAL COURT BLDG CAFETERIA,CENTRE STREET,high income,Manhattan,10013,American,2,A
